Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9
Page 1,Capa,1,Mônica,Cebolinha,Magali,Cascão,Yuka,Kraker,,,
Page 2,,,,,,,,,,,
Page 3,,,,,,,,,,,
Page 4,,,,,,,,,,,
Page 5,,,,,,,,,,,
Page 6,,,,,,,,,,,
Page 7,1,1,Mônica,Dona Luísa,Sansão,,,,,,
Page 8,1,1,Mônica,Sansão,,,,,,,
Page 9,1,1,Mônica,Sansão,,,,,,,
Page 10,1,1,Mônica,,,,,,,,
Page 11,1,1,Mônica,Seu Souza,Sansão,,,,,,
Page 12,1,1,Mônica,Seu Souza,Sansão,,,,,,
Page 13,1,1,Mônica,Seu Souza,,,,,,,
Page 14,1,1,Mônica,Seu Souza,,,,,,,
Page 15,1,1,Cascão,Dona Lurdinha,Seu Antenor,,,,,,
Page 16,1,1,Cascão,Seu Antenor,,,,,,,
Page 17,1,1,Cascão,Seu Antenor,,,,,,,
Page 18.1,1,0.5,Cascão,Seu Antenor,,,,,,,
Page 18.2,1,0.5,Cebolinha,,,,,,,,
Page 19,1,1,Cebolinha,Seu Cebola,Maria Cebolinha,,,,,,
Page 20,1,1,Cebolinha,Dona Cebola,Maria Cebolinha,,,,,,
Page 21,1,1,Cebolinha,Dona Cebola,Maria Cebolinha,,,,,,
Page 22,1,1,Cebolinha,Maria Cebolinha,Mônica,,,,,,
Page 23,1,1,Magali,Seu Carlito,Mingau,Aveia,,,,,
Page 24,1,1,Magali,Dona Lili,Seu Carlito,,,,,,
Page 25,1,1,Mônica,Dona Luísa,,,,,,,
Page 26,1,1,Dona Luísa,Yuka,,,,,,,
Page 27,1,1,Mônica,Dona Luísa,,,,,,,
Page 28,1,1,Mônica,Dona Luísa,,,,,,,
Page 29,1,1,Mônica,Dona Luísa,Magali,,,,,,
Page 30,1,1,Mônica,Seu Souza,Magali,,,,,,
Page 31,1,1,Dona Luísa,Seu Antenor,,,,,,,
Page 32,1,1,Cascão,,,,,,,,
Page 33,1,1,Cebolinha,Maria Cebolinha,Cascão,,,,,,
Page 34,1,1,Cebolinha,Cascão,,,,,,,
Page 35,1,1,Cebolinha,Maria Cebolinha,Cascão,,,,,,
Page 36,1,1,Cebolinha,Cascão,Marina,,,,,,
Page 37,1,1,Cebolinha,Cascão,,,,,,,
Page 38,1,1,Cebolinha,Cascão,,,,,,,
Page 39.1,1,0.5,Cebolinha,Cascão,,,,,,,
Page 39.2,1,0.5,Mônica,Magali,Seu Souza,,,,,,
Page 40,1,1,Mônica,Seu Souza,Magali,,,,,,
Page 41,1,1,Mônica,Magali,,,,,,,
Page 42,1,1,Mônica,Magali,,,,,,,
Page 43,1,1,Mônica,Magali,,,,,,,
Page 44,1,1,Mônica,Cebolinha,,,,,,,
Page 45,1,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 46,1,1,Mônica,Cebolinha,Magali,,,,,,
Page 47,,,,,,,,,,,
Page 48,2,1,Franjinha,Prof Falconi,#1tmj01 Robô Bem-Vindos,#1tmj01 Entregador,,,,,
Page 49,2,1,Franjinha,Prof Falconi,#1tmj01 Robô Bem-Vindos,#1tmj01 Entregador,,,,,
Page 50,2,1,Franjinha,Prof Falconi,,,,,,,
Page 51,2,1,Franjinha,#1tmj01 Entregador,,,,,,,
Page 52,2,1,Franjinha,#1tmj01 Entregador,,,,,,,
Page 53,2,1,Franjinha,#1tmj01 Entregador,,,,,,,
Page 54,2,1,Franjinha,,,,,,,,
Page 55,2,1,Franjinha,Anjinho,,,,,,,
Page 56,2,1,Mônica,Cascão,,,,,,,
Page 57,2,1,Mônica,Cebolinha,Louco,,,,,,
Page 58,2,1,Mônica,Cebolinha,Cascão,Louco,,,,,
Page 59,2,1,Franjinha,Anjinho,,,,,,,
Page 60,2,1,Franjinha,Anjinho,Prof Falconi,,,,,,
Page 61,2,1,Franjinha,Prof Falconi,,,,,,,
Page 62,2,1,Franjinha,Anjinho,Prof Falconi,,,,,,
Page 63,2,1,Capitão Feio,Prof Falconi,,,,,,,
Page 64,2,1,Franjinha,Anjinho,Prof Falconi,Capitão Feio,Dragão de Poeira,,,,
Page 65,2,1,Franjinha,Anjinho,Prof Falconi,Capitão Feio,Dragão de Poeira,,,,
Page 66,2,1,Franjinha,Anjinho,Prof Falconi,Capitão Feio,,,,,
Page 67,2,1,Capitão Feio,Prof Falconi,Monstro de Poeira 1,,,,,,
Page 68,2,1,Capitão Feio,Monstro de Poeira 1,Monstro de Poeira 2,,,,,,
Page 69,2,1,Franjinha,Anjinho,,,,,,,
Page 70,2,1,Capitão Feio,Dragão de Poeira,,,,,,,
Page 71,2,1,Anjinho,Dragão de Poeira,,,,,,,
Page 72,2,1,Franjinha,Prof Falconi,Monstro de Poeira 1,,,,,,
Page 73,2,1,Franjinha,Capitão Feio,Prof Falconi,Monstro de Poeira 1,,,,,
Page 74,2,1,Capitão Feio,Prof Falconi,,,,,,,
Page 75,2,1,Capitão Feio,,,,,,,,
Page 76,2,1,Franjinha,Capitão Feio,Prof Falconi,Monstro de Poeira 1,Monstro de Poeira 2,,,,
Page 77,2,1,Franjinha,Capitão Feio,Prof Falconi,Monstro de Poeira 1,Monstro de Poeira 2,,,,
Page 78,2,1,Mônica,Cascão,Louco,,,,,,
Page 79,2,1,Mônica,Franjinha,,,,,,,
Page 80,2,1,Mônica,Cebolinha,Franjinha,,,,,,
Page 81,2,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 82,2,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 83,2,1,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,,,,
Page 84,2,1,Mônica,Cebolinha,Magali,Franjinha,Capitão Feio,Monstro de Poeira 1,,,
Page 85,2,1,Cascão,Capitão Feio,,,,,,,
Page 86,2,1,Mônica,Cebolinha,Capitão Feio,,,,,,
Page 87,2,1,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,
Page 88,3,1,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,
Page 89,3,1,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,
Page 90,3,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 91,3,1,Mônica,Capitão Feio,,,,,,,
Page 92,3,1,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,Yuka,,,
Page 93,3,1,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,Yuka,,,
Page 94,3,1,Capitão Feio,Yuka,,,,,,,
Page 95,3,1,Mônica,Cebolinha,Magali,Cascão,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,
Page 96,3,1,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,
Page 97,3,1,Capitão Feio,Seu Cebola,,,,,,,
Page 98,3,1,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,#1tmj01 Figurante 1,#1tmj01 Cavalo 1,#1tmj01 Cavalo 2,#1tmj01 Cavalo 3,#1tmj01 Cavalo 4
Page 99,3,1,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Imperador Japonês Sec XVI,#1tmj01 Guarda 1,#1tmj01 Guarda 2,,
Page 100,3,1,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Yuka,Imperador Japonês Sec XVI,#1tmj01 Guarda 2,,
Page 101,3,1,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Imperador Japonês Sec XVI,,,,
Page 102,3,1,Cebolinha,Imperador Japonês Sec XVI,,,,,,,
Page 103,3,1,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Imperador Japonês Sec XVI,,,,
Page 104,3,1,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Bóreas,Zephyrus,Euros,Notus,Imperador Japonês Sec XVI
Page 105,3,1,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Bóreas,Zephyrus,Euros,Notus,
Page 106,3,1,Dona Luísa,Seu Cebola,Seu Antenor,#1tmj01 Cavalo 1,#1tmj01 Cavalo 2,#1tmj01 Cavalo 4,,,
Page 107,3,1,Dona Lili,Yuka,#1tmj01 Cavalo 3,,,,,,
Page 108,3,1,Mônica,Cebolinha,Cascão,Dona Luísa,,,,,
Page 109,3,1,Capitão Feio,Yuka,,,,,,,
Page 110,3,1,Mônica,Cebolinha,Capitão Feio,Bóreas,Zephyrus,Euros,Notus,,
Page 111,3,1,Cebolinha,Capitão Feio,Franjinha,Bóreas,Zephyrus,Euros,Notus,Monstro de Poeira 1,
Page 112,3,1,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,,,,
Page 113,3,1,Mônica,Capitão Feio,Yuka,,,,,,
Page 114,3,1,Yuka,Bóreas,Zephyrus,Euros,Notus,,,,
Page 115,3,1,Mônica,Cebolinha,Magali,Cascão,Dona Luísa,Seu Cebola,Yuka,,
Page 116,3,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 117,3,1,Yuka,Bóreas,Zephyrus,Euros,Notus,,,,
Page 118,3,1,Mônica,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Yuka,,,
Page 119,3,1,Mônica,Dona Luísa,,,,,,,
Page 120,3,1,Cebolinha,Magali,Cascão,Capitão Feio,,,,,
Page 121,3,1,Franjinha,Prof Falconi,Yuka,Monstro de Poeira 1,Monstro de Poeira 2,,,,
Page 122,3,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,Zephyrus,Euros,Notus,
Page 123,3,1,Arkanum,Kraker,#1tmj01 Ninja,#1tmj01 Lobisomem,,,,,
Page 124,3,1,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,,,,
Page 125,3,1,Mônica,Yuka,,,,,,,
Page 126,3,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 127,3,1,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,
Page 128,,,,,,,,,,,
Page 129,,,,,,,,,,,
Page 130,,,,,,,,,,,
Page 131,,,,,,,,,,,
Page 132,,1,Mônica,Cebolinha,,,,,,,
