Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13
Page 1,Capa,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 2,1,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,
Page 3,1,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,
Page 4,1,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,
Page 5,1,1,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,,
Page 6,1,1,Mônica,Bóreas,,,,,,,,,,,
Page 7,1,1,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,,
Page 8,1,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,
Page 9,1,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,
Page 10,1,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,
Page 11,1,1,Cebolinha,,,,,,,,,,,,
Page 12,1,1,Cascão,,,,,,,,,,,,
Page 13,1,1,Magali,,,,,,,,,,,,
Page 14,1,1,Mônica,,,,,,,,,,,,
Page 15,1,1,Mônica,Cebolinha,Magali,Yuka,,,,,,,,,
Page 16,1,1,Franjinha,Prof Falconi,Capitão Feio,Yuka,,,,,,,,,
Page 17,1,1,Capitão Feio,Yuka,,,,,,,,,,,
Page 18,1,1,Capitão Feio,Yuka,,,,,,,,,,,
Page 19,1,1,Capitão Feio,Yuka,,,,,,,,,,,
Page 20,1,1,Mônica,Cebolinha,Magali,Cascão,#1tmj02 Sombra 1,#1tmj02 Sombra 2,#1tmj02 Sombra 3,#1tmj02 Figurante 1,#1tmj02 Figurante 2,,,,
Page 21,2,1,Mônica,Cebolinha,Magali,Cascão,Vanda,Valéria,Elfo,Bárbaro,Anão 1,Anão 2,Pet 1,Pet 2,
Page 22,2,1,Mônica,Cebolinha,Magali,Cascão,Vanda,Valéria,Elfo,Bárbaro,Anão 1,Anão 2,Pet 1,Pet 2,
Page 23,2,1,Cebolinha,Valéria,,,,,,,,,,,
Page 24,2,1,Cebolinha,Vanda,,,,,,,,,,,
Page 25,2,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 26,2,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 27,2,1,Mônica,Cebolinha,Vanda,Valéria,,,,,,,,,
Page 28,2,1,Cebolinha,Cascão,Vanda,Valéria,,,,,,,,,
Page 29,2,1,Cebolinha,Cascão,Bárbaro,Viking,Orc,,,,,,,,
Page 30,2,1,Mônica,Cebolinha,Magali,Cascão,Vanda,Valéria,,,,,,,
Page 31,2,1,Mônica,Cebolinha,Cascão,Bárbaro,Viking,,,,,,,,
Page 32,2,1,Mônica,Magali,Cascão,Vanda,Viking,Orc,,,,,,,
Page 33,2,1,Mônica,Magali,Vanda,Valéria,Bárbaro,Orc,,,,,,,
Page 34,2,1,Mônica,Cebolinha,Magali,Cascão,Bárbaro,Viking,Orc,,,,,,
Page 35,2,1,Mônica,Cebolinha,Magali,Cascão,Óinc 1,Óinc 2,#1tmj02 Sombra 4,#1tmj02 Sombra 5,#1tmj02 Sombra 6,#1tmj02 Sombra 7,#1tmj02 Sombra 8,,
Page 36,2,1,Mônica,Cebolinha,Magali,Cascão,Óinc 1,Óinc 2,#1tmj02 Sombra 9,#1tmj02 Sombra 10,#1tmj02 Sombra 11,#1tmj02 Sombra 12,#1tmj02 Sombra 13,,
Page 37,2,1,Mônica,Cebolinha,Cascão,Óinc 1,#1tmj02 Sombra 9,#1tmj02 Sombra 10,#1tmj02 Sombra 11,#1tmj02 Sombra 12,#1tmj02 Sombra 13,,,,
Page 38,2,1,Mônica,Cebolinha,Magali,Óinc 1,Óinc 2,Óinc 3,,,,,,,
Page 39,2,1,Mônica,Cebolinha,Magali,Óinc 1,Óinc 2,,,,,,,,
Page 40,2,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 41,2,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 42,3,1,Mônica,Cascão,,,,,,,,,,,
Page 43,3,1,Cebolinha,Magali,Cascão,,,,,,,,,,
Page 44,3,1,Cascão,Minotauro,,,,,,,,,,,
Page 45,3,1,Mônica,Cebolinha,Magali,Cascão,Minotauro,,,,,,,,
Page 46,3,1,Cebolinha,Minotauro,,,,,,,,,,,
Page 47,3,1,Mônica,Magali,Cascão,,,,,,,,,,
Page 48,3,1,Mônica,Cebolinha,Minotauro,Zarolho,,,,,,,,,
Page 49,3,1,Mônica,Cebolinha,Cascão,Minotauro,,,,,,,,,
Page 50,3,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 51,3,1,Mônica,Cebolinha,Gigante de Pedra,,,,,,,,,,
Page 52,3,1,Mônica,Cebolinha,Magali,Gigante de Pedra,,,,,,,,,
Page 53,3,1,Mônica,Cebolinha,Magali,Cascão,Gigante de Pedra,,,,,,,,
