Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19
Page 1,Capa,1,Mônica,Cebolinha,,,,,,,,,,,,,,,,,
Page 2,1,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,,,,,,,,,,,,,,
Page 3,1,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,#1tmj04 Figurante 1,#1tmj04 Figurante 2,#1tmj04 Sombra 1,#1tmj04 Sombra 2,,,,,,,,,,
Page 4,1,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,#1tmj04 Figurante 1,#1tmj04 Figurante 2,#1tmj04 Sombra 1,#1tmj04 Sombra 2,,,,,,,,,,
Page 5,1,1,Cebolinha,Cascão,Coelho Caolho,Tarugo,,,,,,,,,,,,,,,
Page 6.1,1,0.5,Cebolinha,Cascão,Coelho Caolho,Tarugo,Filho 58,,,,,,,,,,,,,,
Page 6.2,1,0.5,Mônica,Jotalhão,,,,,,,,,,,,,,,,,
Page 7,1,1,Mônica,Cebolinha,Jotalhão,,,,,,,,,,,,,,,,
Page 8,1,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,,,,,,,,,,,,,,
Page 9,1,1,Mônica,Cebolinha,Magali,Coelho Caolho,,,,,,,,,,,,,,,
Page 10,1,1,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,Yuka,,,,,,,,,,,,,
Page 11,1,1,Capitão Feio,Yuka,Le Kin,Don Dinho,Espinho,Garra de Aço,,,,,,,,,,,,,
Page 12,1,1,Capitão Feio,Yuka,,,,,,,,,,,,,,,,,
Page 13,1,1,Raposão,#1tmj04 Guarda Macaco 1,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,,,,,,
Page 14,1,1,Raposão,Rei Leonino,Luís Caxeiro,#1tmj04 Cameraman 1,#1tmj04 Repórter 1,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,,,,,,,,,
Page 15,1,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,Raposão,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,,,,,,,
Page 16.1,1,0.5,Capitão Feio,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,,,,,,,,,,,,
Page 16.2,1,0.5,Mônica,Cebolinha,Cascão,Raposão,Espinho,#1tmj04 Lun Chi,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,,
Page 17,1,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,Raposão,Yuka,,,,,,,,,,,,
Page 18,1,1,Mônica,Cebolinha,Cascão,Coelho Caolho,Raposão,Le Kin,Garra de Aço,#1tmj04 Lutador 1,#1tmj04 Lutador 2,#1tmj04 Cameraman 1,#1tmj04 Repórter 1,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,,
Page 19,1,1,Mônica,Magali,Coelho Caolho,Raposão,Yuka,Don Dinho,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,,,,,,,
Page 20,1,1,Mônica,Cebolinha,Coelho Caolho,Raposão,Espinho,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,,,,,,,,
Page 21,1,1,Mônica,Cebolinha,Coelho Caolho,Raposão,Espinho,,,,,,,,,,,,,,
Page 22.1,1,0.5,Mônica,Cebolinha,Coelho Caolho,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,,,,,,,,,,
Page 22.2,1,0.5,Capitão Feio,#1tmj04 Tiozão,#1tmj04 Sobrinho 1,#1tmj04 Sobrinho 2,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,,,,,,,,,,
Page 23.1,1,0.5,Capitão Feio,#1tmj04 Tiozão,,,,,,,,,,,,,,,,,
Page 23.2,1,0.5,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,Raposão,Garra de Aço,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,
Page 24,1,1,Mônica,Cebolinha,Cascão,Coelho Caolho,Le Kin,,,,,,,,,,,,,,
Page 25,1,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,Le Kin,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,,,,,,,
