Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9
Page 1,Capa,1,Mônica,Cebolinha,Kraker,,,,,,
Page 2,,,,,,,,,,,
Page 3,,,,,,,,,,,
Page 4,,,,,,,,,,,
Page 5,,,,,,,,,,,
Page 6,,,,,,,,,,,
Page 7,1,1,Mônica,Cebolinha,Zephyrus,,,,,,
Page 8,1,1,Mônica,Cebolinha,Magali,Cascão,Robóris,,,,
Page 9,1,1,Cascão,Robóris,,,,,,,
Page 10,1,1,Mônica,Cebolinha,Magali,Cascão,Zephyrus,Robóris,,,
Page 11,1,1,Mônica,Cebolinha,Magali,Cascão,Zephyrus,Robóris,,,
Page 12,1,1,Cebolinha,Cascão,,,,,,,
Page 13,1,1,Cebolinha,Cascão,#1tmj_03 Robô-Ofurô,,,,,,
Page 14,1,1,Mônica,Cebolinha,Magali,#1tmj_03 Robô-Roupa,,,,,
Page 15,1,1,Mônica,Cebolinha,Magali,#1tmj_03 Robô-Cozinheiro,,,,,
Page 16,1,1,Mônica,Cebolinha,Magali,,,,,,
Page 17,1,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 18,1,1,Mônica,Cebolinha,Magali,Cascão,Robóris,,,,
Page 19,1,1,Mônica,Cebolinha,Magali,Robóris,#1tmj_03 Motox 3D 228 1,#1tmj_03 Motox 3D 228 2,,,
Page 20,1,1,Cebolinha,Cascão,Robóris,#1tmj_03 Motox 3D 228 1,,,,,
Page 21,1,1,Mônica,Cebolinha,#1tmj_03 Motox 3D 228 1,#1tmj_03 Motox 3D 228 2,,,,,
Page 22,1,1,Capitão Feio,Yuka,,,,,,,
Page 23,1,1,Capitão Feio,Yuka,,,,,,,
Page 24,1,1,Franjinha,Prof Falconi,Capitão Feio,Yuka,,,,,
Page 25,1,1,Franjinha,Prof Falconi,,,,,,,
Page 26,1,1,Franjinha,Marina,Denise,Maria Cascuda,,,,,
Page 27,1,1,Marina,Denise,Maria Cascuda,,,,,,
Page 28,2,1,Mônica,Cebolinha,Magali,Cascão,Robóris,#1tmj_03 Roboy Geórgio,#1tmj_03 Figurante 1,#1tmj_03 Figurante 2,#1tmj_03 Figurante 3
Page 29,2,1,Mônica,Cebolinha,Magali,Cascão,Robóris,#1tmj_03 Roboy Geórgio,#1tmj_03 Figurante 1,#1tmj_03 Figurante 2,#1tmj_03 Figurante 3
Page 30,2,1,Cebolinha,Cascão,Bloguinho,Robóris,,,,,
Page 31,2,1,Mônica,Magali,Bloguinho,,,,,,
Page 32,2,1,Magali,Cascão,Bloguinho,Kraker,,,,,
Page 33,2,1,Mônica,Cebolinha,Magali,Cascão,Bloguinho,,,,
Page 34,2,1,Mônica,Cebolinha,Bloguinho,Robóris,,,,,
Page 35,2,1,Magali,Cascão,Bloguinho,,,,,,
Page 36,2,1,Mônica,Cebolinha,Magali,Bloguinho,,,,,
Page 37,2,1,Mônica,Cebolinha,Bloguinho,,,,,,
Page 38,2,1,Mônica,Bloguinho,,,,,,,
Page 39,2,1,Mônica,Bloguinho,Coelho de Ferro,,,,,,
Page 40.1,2,0.5,Cebolinha,Bloguinho,,,,,,,
Page 40.2,2,0.5,Magali,Bloguinho,#1tmj_03 Figurante 4,#1tmj_03 Figurante 5,,,,,
Page 41.1,2,0.5,Cascão,Bloguinho,#1tmj_03 Motox 3D 228 2,,,,,,
Page 41.2,2,0.5,Mônica,Bloguinho,Coelho de Ferro,,,,,,
Page 42,2,1,Cascão,#1tmj_03 Motox 3D 228 2,#1tmj_03 Alien Tomboniano 1,,,,,,
Page 43,2,1,Magali,#1tmj_03 Robô Fofo 1,,,,,,,
Page 44,2,1,Magali,#1tmj_03 Robô Fofo 1,,,,,,,
Page 45,2,1,Cebolinha,Professor Spada / Doutor Spam,,,,,,,
Page 46,2,1,Cebolinha,Professor Spada / Doutor Spam,,,,,,,
Page 47,2,1,Mônica,Bloguinho,,,,,,,
Page 48,2,1,Mônica,Bloguinho,Kraker,,,,,,
Page 49,2,1,Cascão,Bloguinho,#1tmj_03 Alien Tomboniano 1,#1tmj_03 Alien Tomboniano 2,,,,,
Page 50,2,1,Cascão,Bloguinho,#1tmj_03 Alien Tomboniano 1,#1tmj_03 Alien Tomboniano 2,#1tmj_03 Alien Tomboniano 3,#1tmj_03 Alien Tomboniano 4,#1tmj_03 Alien Tomboniano 5,,
Page 51,2,1,Magali,#1tmj_03 Robô Fofo 1,#1tmj_03 Robô Fofo 2,#1tmj_03 Robô Fofo 3,,,,,
Page 52,2,1,Magali,Cabeleira Negra,,,,,,,
Page 53,2,1,Franjinha,Prof Falconi,Capitão Feio,Cabeleira Negra,Yuka,,,,
Page 54,2,1,Magali,Cabeleira Negra,,,,,,,
Page 55,2,1,Cebolinha,Bloguinho,Professor Spada / Doutor Spam,,,,,,
Page 56,2,1,Cebolinha,Bloguinho,Professor Spada / Doutor Spam,,,,,,
Page 57,2,1,Cebolinha,Professor Spada / Doutor Spam,,,,,,,
Page 58,3,1,Mônica,Bloguinho,Kraker,Coelho de Ferro,,,,,
Page 59,3,1,Mônica,Bloguinho,Kraker,Coelho de Ferro,,,,,
Page 60,3,1,Cascão,Bloguinho,,,,,,,
Page 61,3,1,Magali,Cabeleira Negra,,,,,,,
