Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14
Page 1,Capa,1,Mônica,Cebolinha,Magali,Cascão,Titi,Denise,,,,,,,,
Page 2,,,,,,,,,,,,,,,,
Page 3,,,,,,,,,,,,,,,,
Page 4,,,,,,,,,,,,,,,,
Page 5,,,,,,,,,,,,,,,,
Page 6,,,,,,,,,,,,,,,,
Page 7,1,1,Mônica,Cebolinha,Magali,#1tmj_05 Figurante 1,,,,,,,,,,
Page 8,1,1,Mônica,Cebolinha,#1tmj_05 Sombra 1,#1tmj_05 Sombra 2,#1tmj_05 Sombra 3,#1tmj_05 Sombra 4,#1tmj_05 Sombra 5,#1tmj_05 Sombra 6,#1tmj_05 Sombra 7,#1tmj_05 Sombra 8,,,,
Page 9,1,1,Mônica,Cebolinha,#1tmj_05 Sombra 1,#1tmj_05 Sombra 2,#1tmj_05 Sombra 3,#1tmj_05 Sombra 4,#1tmj_05 Sombra 5,#1tmj_05 Sombra 6,#1tmj_05 Sombra 7,#1tmj_05 Sombra 8,,,,
Page 10,1,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,
Page 11,1,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,
Page 12,1,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,
Page 13,1,1,Mônica,Cebolinha,,,,,,,,,,,,
Page 14,1,1,Mônica,Cebolinha,Magali,Irene,,,,,,,,,,
Page 15,1,1,Mônica,Cebolinha,Magali,Irene,,,,,,,,,,
Page 16,1,1,Mônica,Cebolinha,Magali,Irene,,,,,,,,,,
Page 17,1,1,Mônica,Cebolinha,Magali,#1tmj_05 Figurante 2,#1tmj_05 Figurante 3,#1tmj_05 Figurante 4,#1tmj_05 Figurante 5,#1tmj_05 Sombra 9,#1tmj_05 Sombra 10,,,,,
Page 18,1,1,Mônica,Magali,,,,,,,,,,,,
Page 19,1,1,Mônica,Cebolinha,,,,,,,,,,,,
Page 20,1,1,Mônica,Cebolinha,Magali,,,,,,,,,,,
Page 21,1,1,Mônica,Magali,Dona Luísa,,,,,,,,,,,
Page 22,1,1,Mônica,Magali,Sansão,,,,,,,,,,,
Page 23.1,1,0.5,Mônica,Cebolinha,Sansão,,,,,,,,,,,
Page 23.2,1,0.5,Mônica,Magali,,,,,,,,,,,,
Page 24,1,1,Mônica,Magali,Sansão,,,,,,,,,,,
Page 25,1,1,Mônica,Magali,,,,,,,,,,,,
Page 26,1,1,Mônica,Magali,,,,,,,,,,,,
Page 27,1,1,Mônica,Magali,Dona Luísa,,,,,,,,,,,
Page 28,1,1,Mônica,Magali,Dona Luísa,,,,,,,,,,,
Page 29,1,1,Mônica,Magali,Dona Luísa,,,,,,,,,,,
Page 30,1,1,Mônica,Magali,Dona Luísa,,,,,,,,,,,
Page 31,1,1,Mônica,Magali,Dona Luísa,,,,,,,,,,,
Page 32,1,1,Mônica,Magali,Dona Luísa,,,,,,,,,,,
Page 33,1,1,Mônica,Magali,Dona Luísa,,,,,,,,,,,
Page 34,1,1,Mônica,Magali,Dona Luísa,,,,,,,,,,,
Page 35,1,1,Mônica,Magali,Dona Luísa,,,,,,,,,,,
Page 36,1,1,Mônica,Magali,Dona Luísa,,,,,,,,,,,
Page 37,1,1,Mônica,Magali,Dona Luísa,,,,,,,,,,,
Page 38,1,1,Mônica,Magali,Dona Luísa,,,,,,,,,,,
Page 39,1,1,Mônica,Denise,Maria Cascuda,,,,,,,,,,,
Page 40,1,1,Mônica,Magali,Denise,Maria Cascuda,Dona Luísa,,,,,,,,,
Page 41,1,1,Mônica,Magali,Denise,Maria Cascuda,Dona Luísa,,,,,,,,,
Page 42,1,1,Mônica,Magali,Denise,Maria Cascuda,Dona Luísa,,,,,,,,,
Page 43,1,1,Mônica,Magali,Denise,Maria Cascuda,Dona Luísa,,,,,,,,,
Page 44,1,1,Dona Luísa,Seu Souza,#1tmj_05 Figurante 6,#1tmj_05 Figurante 7,#1tmj_05 Figurante 8,#1tmj_05 Figurante 9,,,,,,,,
Page 45,1,1,Mônica,Magali,Denise,Maria Cascuda,Dona Luísa,#1tmj_05 Sombra 11,,,,,,,,
Page 46,1,1,Mônica,Magali,Denise,Dona Luísa,#1tmj_05 Cabeleireira,#1tmj_05 Manicure,#1tmj_05 Cabeleireiro,,,,,,,
Page 47,1,1,Mônica,Magali,Denise,Dona Luísa,#1tmj_05 Massagista,,,,,,,,,
Page 48,1,1,Mônica,Denise,Dona Luísa,#1tmj_05 Atendente 1,,,,,,,,,,
Page 49,1,1,Mônica,Magali,Denise,Maria Cascuda,,,,,,,,,,
Page 50,1,1,Mônica,Magali,Denise,Maria Cascuda,Dona Luísa,,,,,,,,,
Page 51,1,1,Mônica,Magali,Denise,Maria Cascuda,#1tmj_05 Atendente 2,,,,,,,,,
Page 52,1,1,Mônica,Magali,Denise,Maria Cascuda,#1tmj_05 Atendente 2,,,,,,,,,
Page 53,1,1,Mônica,Magali,Maria Cascuda,Dona Luísa,#1tmj_05 Figurante 10,#1tmj_05 Figurante 11,,,,,,,,
Page 54,1,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 55,1,1,Mônica,Magali,Denise,Maria Cascuda,Dona Luísa,#1tmj_05 Figurante 12,#1tmj_05 Sombra 12,#1tmj_05 Sombra 13,#1tmj_05 Sombra 14,,,,,
Page 56,1,1,Mônica,Magali,Denise,Maria Cascuda,Dona Luísa,,,,,,,,,
Page 57,1,1,Mônica,Magali,Denise,Maria Cascuda,,,,,,,,,,
