Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21
Page 1,Capa,1,Mônica,Cebolinha,Robô,Imperador Usagi,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,,,,,,,,,,,,,,,,,,,,,,
Page 4,,,,,,,,,,,,,,,,,,,,,,,
Page 5,,,,,,,,,,,,,,,,,,,,,,,
Page 6,,,,,,,,,,,,,,,,,,,,,,,
Page 7,1,1,,,,,,,,,,,,,,,,,,,,,
Page 8,1,1,,,,,,,,,,,,,,,,,,,,,
Page 9,1,1,,,,,,,,,,,,,,,,,,,,,
Page 10,1,1,Princesa Usagi Mimi,,,,,,,,,,,,,,,,,,,,
Page 11,1,1,Princesa Usagi Mimi,#1tmj_07 Robô Tzk 1,#1tmj_07 Robô Tzk 2,#1tmj_07 Robô Tzk 3,#1tmj_07 Robô Tzk 4,#1tmj_07 Robô Tzk 5,#1tmj_07 Robô Tzk 6,#1tmj_07 Robô Tzk 7,#1tmj_07 Robô Tzk 8,#1tmj_07 Robô Tzk 9,#1tmj_07 Robô Tzk 10,,,,,,,,,,
Page 12,1,1,Princesa Usagi Mimi,#1tmj_07 Robô Tzk 1,#1tmj_07 Robô Tzk 2,#1tmj_07 Robô Tzk 3,#1tmj_07 Robô Tzk 4,#1tmj_07 Robô Tzk 5,#1tmj_07 Robô Tzk 6,#1tmj_07 Robô Tzk 7,#1tmj_07 Robô Tzk 8,#1tmj_07 Robô Tzk 9,#1tmj_07 Robô Tzk 10,,,,,,,,,,
Page 13,1,1,Princesa Usagi Mimi,#1tmj_07 Robô Tzk 1,#1tmj_07 Robô Tzk 2,#1tmj_07 Robô Tzk 3,#1tmj_07 Robô Tzk 4,#1tmj_07 Robô Tzk 5,#1tmj_07 Robô Tzk 6,#1tmj_07 Robô Tzk 7,#1tmj_07 Robô Tzk 8,,,,,,,,,,,,
Page 14,1,1,Imperador Usagi,#1tmj_07 Guarda Real 1,#1tmj_07 Guarda Real 2,,,,,,,,,,,,,,,,,,
Page 15,1,1,Princesa Usagi Mimi,#1tmj_07 Robô Tzk 1,#1tmj_07 Robô Tzk 2,#1tmj_07 Robô Tzk 3,#1tmj_07 Robô Tzk 4,#1tmj_07 Robô Tzk 5,#1tmj_07 Robô Tzk 6,#1tmj_07 Robô Tzk 7,#1tmj_07 Robô Tzk 8,,,,,,,,,,,,
