Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17
Page 1,Capa,1,Mônica,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,
Page 3,,,,,,,,,,,,,,,,,,,
Page 4,,,,,,,,,,,,,,,,,,,
Page 5,1,1,Xaveco,#1tmj_09 Estudante 1,,,,,,,,,,,,,,,
Page 6,1,1,Xaveco,Prof Jorge,#1tmj_09 Estudante 1,#1tmj_09 Estudante 2,#1tmj_09 Sombra 1,#1tmj_09 Sombra 2,#1tmj_09 Sombra 3,#1tmj_09 Sombra 4,#1tmj_09 Sombra 5,,,,,,,,
Page 7,1,1,Xaveco,Prof Jorge,#1tmj_09 Estudante 1,#1tmj_09 Estudante 2,#1tmj_09 Sombra 1,#1tmj_09 Sombra 2,#1tmj_09 Sombra 3,#1tmj_09 Sombra 4,#1tmj_09 Sombra 5,,,,,,,,
Page 8,1,1,Mônica,Prof Jorge,,,,,,,,,,,,,,,
Page 9,1,1,Mônica,Magali,Xaveco,#1tmj_09 Estudante 1,,,,,,,,,,,,,
Page 10.1,1,0.5,Mônica,Magali,Cascão,,,,,,,,,,,,,,
Page 10.2,1,0.5,Mônica,Cebolinha,,,,,,,,,,,,,,,
Page 11,1,1,Mônica,Magali,,,,,,,,,,,,,,,
Page 12,1,1,Mônica,Magali,Denise,Carminha Frufru,,,,,,,,,,,,,
Page 13,1,1,Mônica,Magali,Denise,Carminha Frufru,,,,,,,,,,,,,
Page 14,1,1,Mônica,Magali,Denise,Carminha Frufru,Prof Jorge,,,,,,,,,,,,
Page 15,1,1,Mônica,Cascão,Prof Jorge,,,,,,,,,,,,,,
Page 16,1,1,Mônica,Cascão,Sansão,,,,,,,,,,,,,,
Page 17,1,1,Mônica,Cascão,,,,,,,,,,,,,,,
Page 18,1,1,Mônica,Magali,Cascão,Prof Jorge,Sansão,,,,,,,,,,,,
Page 19,1,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,
Page 20,1,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,
Page 21,1,1,Mônica,Cebolinha,,,,,,,,,,,,,,,
Page 22,1,1,Mônica,Cebolinha,Cascão,Xaveco,Prof Jorge,,,,,,,,,,,,
Page 23,1,1,Cebolinha,Magali,Denise,Carminha Frufru,Xaveco,Prof Jorge,,,,,,,,,,,
Page 24,1,1,Mônica,Cebolinha,Denise,Carminha Frufru,,,,,,,,,,,,,
Page 25,1,1,Mônica,Cebolinha,Magali,Cascão,Denise,Carminha Frufru,Xaveco,Prof Jorge,,,,,,,,,
Page 26,1,1,Mônica,Cebolinha,Magali,Cascão,Carminha Frufru,Xaveco,Prof Jorge,,,,,,,,,,
Page 27,1,1,Cebolinha,Denise,Carminha Frufru,Xaveco,,,,,,,,,,,,,
