Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17
Page 1,Capa,1,Homem Invisível,Mulher Invisível,Cranicóla,Zé Caveirinha,Frank,Lobi,Zé Vampir,Muminho,Penadinho,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,
Page 3,,1,Penadinho,,,,,,,,,,,,,,,,
Page 4,1,1,#tdm05 Criança 1,#tdm05 Criança 2,#tdm05 Criança 3,#tdm05 Criança 4,#tdm05 Criança 5,#tdm05 Criança 6,#tdm05 Criança 7,#tdm05 Criança 8,,,,,,,,,
Page 5,1,1,#tdm05 Criança 9,#tdm05 Criança 10,#tdm05 Criança 11,#tdm05 Criança 12,#tdm05 Criança 13,#tdm05 Criança 14,#tdm05 Criança 15,#tdm05 Criança 16,#tdm05 Criança 17,#tdm05 Criança 18,#tdm05 Criança 19,#tdm05 Criança 20,#tdm05 Criança 21,#tdm05 Criança 22,#tdm05 Criança 23,#tdm05 Criança 24,#tdm05 Criança 25
Page 6,1,1,#tdm05 Criança 26,#tdm05 Criança 27,#tdm05 Criança 28,#tdm05 Criança 29,#tdm05 Criança 30,,,,,,,,,,,,
Page 7,1,1,#tdm05 Criança 31,#tdm05 Criança 32,#tdm05 Criança 33,#tdm05 Criança 34,#tdm05 Criança 35,#tdm05 Criança 36,#tdm05 Figurante 1,,,,,,,,,,
Page 8,1,1,#tdm05 Criança 37,#tdm05 Criança 38,#tdm05 Criança 39,#tdm05 Criança 40,#tdm05 Criança 41,#tdm05 Criança 42,#tdm05 Criança 43,#tdm05 Criança 44,#tdm05 Criança 45,#tdm05 Criança 46,,,,,,,
Page 9,1,1,Magali,#tdm05 Atendente 1,#tdm05 Atendente 2,#tdm05 Sombra 1,#tdm05 Sombra 2,#tdm05 Criança 47,#tdm05 Criança 48,#tdm05 Criança 49,#tdm05 Criança 50,#tdm05 Criança 51,#tdm05 Criança 52,#tdm05 Criança 53,#tdm05 Criança 54,,,,
Page 10,1,1,Penadinho,Cranicóla,,,,,,,,,,,,,,,
Page 11,1,1,#tdm05 Figurante 2,Penadinho,,,,,,,,,,,,,,,
Page 12,1,1,Zé Vampir,Muminho,Frank,Lobi,Cranicóla,Penadinho,Zé Caveirinha,#tdm05 Camisa 1,#tdm05 Camisa 2,#tdm05 Camisa 3,#tdm05 Vestido,#tdm05 Lixo,,,,,
Page 13,1,1,Zé Vampir,Muminho,Frank,Lobi,Cranicóla,Penadinho,Zé Caveirinha,#tdm05 Vestido,Alminha,#tdm05 Toalha,#tdm05 Lixo,#tdm05 Fantasminha,,,,,
Page 14,1,1,Zé Vampir,Frank,Cranicóla,Penadinho,#tdm05 Vestido,Alminha,#tdm05 Lixo,#tdm05 Fantasminha,,,,,,,,,
Page 15,1,1,Zé Vampir,Lobi,Cranicóla,Penadinho,#tdm05 Vestido,Alminha,#tdm05 Toalha,#tdm05 Camisa 1,#tdm05 Camisa 2,#tdm05 Camisa 3,#tdm05 Fantasminha,,,,,,
Page 16,1,1,Frank,Lobi,Cranicóla,Zé Caveirinha,Penadinho,#tdm05 Vestido,Alminha,#tdm05 Toalha,#tdm05 Lixo,#tdm05 Camisa 1,#tdm05 Camisa 2,#tdm05 Camisa 3,#tdm05 Fantasminha,,,,
Page 17,1,1,#tdm05 Figurante 3,Zé Caveirinha,Penadinho,#tdm05 Vestido,#tdm05 Toalha,#tdm05 Lixo,#tdm05 Camisa 1,#tdm05 Camisa 2,#tdm05 Camisa 3,,,,,,,,
Page 18,2,1,Cascão,,,,,,,,,,,,,,,,
Page 19,2,1,Cascão,Dona Lurdinha,,,,,,,,,,,,,,,
Page 20,3,1,Mônica,Marina,Bidu,,,,,,,,,,,,,,
Page 21,3,1,Mônica,Marina,Bidu,,,,,,,,,,,,,,
Page 22,3,1,Mônica,Marina,Floquinho,,,,,,,,,,,,,,
Page 23,3,1,Mônica,Marina,Monicão,#tdm05 Animal 1,#tdm05 Animal 2,#tdm05 Animal 3,,,,,,,,,,,
Page 24,3,1,Mônica,Marina,Cebolinha,Sansão,,,,,,,,,,,,,
Page 25,,,,,,,,,,,,,,,,,,,
Page 26,,,,,,,,,,,,,,,,,,,
Page 27,4,1,Dona Cebola,Cebolinha,Anjinho,#tdm05 Anjinho 2,#tdm05 Anjinho 3,#tdm05 Anjinho 4,#tdm05 Anjinho 1,,,,,,,,,,
Page 28,5,1,Chico Bento,#tdm05 Animal 4,,,,,,,,,,,,,,,
Page 29,5,1,Chico Bento,#tdm05 Animal 4,,,,,,,,,,,,,,,
Page 30,6,1,Maurício de Souza,#tdm05 Desenhista 1,#tdm05 Desenhista 2,#tdm05 Desenhista 3,#tdm05 Desenhista 4,#tdm05 Sombra 3,#tdm05 Sombra 4,#tdm05 Sombra 5,#tdm05 Sombra 6,#tdm05 Sombra 7,#tdm05 Sombra 8,#tdm05 Sombra 9,#tdm05 Sombra 10,,,,
Page 31,6,1,Maurício de Souza,#tdm05 Desenhista 1,#tdm05 Desenhista 2,#tdm05 Desenhista 3,#tdm05 Desenhista 4,Tina,#tdm05 Sombra 11,#tdm05 Sombra 12,#tdm05 Sombra 13,#tdm05 Sombra 14,#tdm05 Sombra 15,#tdm05 Sombra 16,#tdm05 Sombra 17,#tdm05 Sombra 18,#tdm05 Sombra 19,#tdm05 Sombra 20,
Page 32,6,1,Rita Najura,Jotalhão,#tdm05 Animal 5,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,
Page 36,7,1,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 37,7,1,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 38,7,1,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 39,7,1,Lobi,Penadinho,Frank,#tdm05 Figurante 4,,,,,,,,,,,,,
Page 40,7,1,Lobi,Penadinho,Frank,#tdm05 Figurante 4,,,,,,,,,,,,,
Page 41,7,1,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 42,7,1,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 43,,,,,,,,,,,,,,,,,,,
Page 44,8,1,Cebolinha,Floquinho,,,,,,,,,,,,,,,
Page 45,8,1,Cebolinha,Floquinho,,,,,,,,,,,,,,,
Page 46,9,1,Astronauta,,,,,,,,,,,,,,,,
Page 47,9,1,Astronauta,,,,,,,,,,,,,,,,
Page 48,9,1,Astronauta,,,,,,,,,,,,,,,,
Page 49,9,1,,,,,,,,,,,,,,,,,
Page 50,9,1,Astronauta,,,,,,,,,,,,,,,,
Page 51,9,1,Astronauta,,,,,,,,,,,,,,,,
Page 52,9,1,Astronauta,Astronauta do Futuro,,,,,,,,,,,,,,,
Page 53,9,1,Astronauta,Astronauta do Futuro,,,,,,,,,,,,,,,
Page 54,9,1,Astronauta,Natalina,Astrogildo,,,,,,,,,,,,,,
Page 55,,,,,,,,,,,,,,,,,,,
Page 56,10,1,Zé Caveirinha,#tdm05 Animal 6,,,,,,,,,,,,,,,
Page 57,11,1,Cebolinha,Sansão,,,,,,,,,,,,,,,
Page 58,11,1,Cebolinha,Sansão,Monicão,,,,,,,,,,,,,,
Page 59,11,1,Cebolinha,Sansão,Monicão,,,,,,,,,,,,,,
Page 60,11,1,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 61,11,1,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 62,11,1,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 63,11,1,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 64,11,1,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 65,11,1,Cebolinha,Sansão,Monicão,Mônica,Cascão,,,,,,,,,,,,
Page 66,12,1,Penadinho,Alminha,,,,,,,,,,,,,,,
