Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16
Page 1,Capa,1,Mônica,Cebolinha,Magali,Bruxa Viviane,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,
Page 3,,1,Mônica,Cebolinha,Magali,Bruxa Viviane,Sansão,Bóris,,,,,,,,,,
Page 4,1,1,Bruxa Viviane,Bóris,,,,,,,,,,,,,,
Page 5,1,1,Bruxa Viviane,Bóris,Mônica,Magali,Cebolinha,Cascão,,,,,,,,,,
Page 6,1,1,Bruxa Viviane,Bóris,,,,,,,,,,,,,,
Page 7,1,1,Bruxa Viviane,Bóris,,,,,,,,,,,,,,
Page 8,1,1,Bruxa Viviane,Bóris,#tdm_20 Atendente 1,#tdm_20 Atendente 2,,,,,,,,,,,,
Page 9,1,1,Bruxa Viviane,Bóris,#tdm_20 Atendente 1,,,,,,,,,,,,,
Page 10,1,1,Bruxa Viviane,Bóris,#tdm_20 Atendente 1,,,,,,,,,,,,,
Page 11,1,1,Cebolinha,Cascão,Bruxa Viviane,Bóris,,,,,,,,,,,,
Page 12,1,1,Mônica,Cebolinha,Cascão,Bruxa Viviane,Bóris,,,,,,,,,,,
Page 13,1,1,Mônica,Cebolinha,Cascão,Bruxa Viviane,Bóris,,,,,,,,,,,
Page 14,1,1,Mônica,Cebolinha,Cascão,Bruxa Viviane,,,,,,,,,,,,
Page 15,1,1,Mônica,Cebolinha,Cascão,Bruxa Viviane,,,,,,,,,,,,
Page 16,1,1,Mônica,Cebolinha,Cascão,Bruxa Viviane,Bóris,,,,,,,,,,,
Page 17,1,1,Magali,Bruxa Viviane,Bóris,#tdm_20 Criança 1,,,,,,,,,,,,
Page 18,1,1,Magali,Bruxa Viviane,Bóris,,,,,,,,,,,,,
Page 19,1,1,Magali,Bruxa Viviane,Bóris,#tdm_20 Sombra 1,#tdm_20 Atendente 3,,,,,,,,,,,
Page 20,1,1,Magali,Bruxa Viviane,#tdm_20 Atendente 4,,,,,,,,,,,,,
Page 21.1,1,0.5,Magali,Bruxa Viviane,#tdm_20 Atendente 4,,,,,,,,,,,,,
Page 21.2,1,0.5,Mônica,Cebolinha,Magali,Cascão,Bruxa Viviane,,,,,,,,,,,
Page 22,1,1,Mônica,Cebolinha,Magali,Cascão,Bruxa Viviane,,,,,,,,,,,
Page 23,1,1,Mônica,Cebolinha,Magali,Cascão,Bruxa Viviane,,,,,,,,,,,
Page 24,1,1,Mônica,Cebolinha,Magali,Cascão,Bruxa Viviane,Horácio,Mamute Antão,Pterodáctilo Alfredo,Brontossauro,,,,,,,
