Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8
Page 1,Capa,1,Magali,Dud Van Winkle,#tdm_21 Criança 1,,,,,
Page 2,,,,,,,,,,
Page 3,1,1,Magali,Dudu,,,,,,
Page 4,1,1,Magali,Dudu,,,,,,
Page 5,1,1,Magali,Dudu,,,,,,
Page 6,1,1,Magali,Dudu,#tdm_21 Criança 2,,,,,
Page 7.1,1,0.5,Dud Van Winkle,#tdm_21 Figurante 1,#tdm_21 Figurante 2,#tdm_21 Animal 1,#tdm_21 Animal 2,#tdm_21 Animal 3,#tdm_21 Animal 4,#tdm_21 Animal 5
Page 7.2,1,0.5,Magali,Dudu,,,,,,
Page 8.1,1,0.5,Magali,Dudu,,,,,,
Page 8.2,1,0.5,Dud Van Winkle,#tdm_21 Figurante 3,,,,,,
Page 9,1,1,Dud Van Winkle,#tdm_21 Animal 6,#tdm_21 Animal 7,#tdm_21 Animal 8,#tdm_21 Animal 9,,,
Page 10.1,1,0.5,Magali,Dudu,,,,,,
Page 10.2,1,0.5,Dud Van Winkle,#tdm_21 Animal 10,,,,,,
Page 11,1,1,Dud Van Winkle,,,,,,,
Page 12.1,1,0.5,Magali,Dudu,,,,,,
Page 12.2,1,0.5,#tdm_21 Figurante 4,#tdm_21 Figurante 5,#tdm_21 Figurante 6,,,,,
Page 13.1,1,0.5,#tdm_21 Figurante 5,#tdm_21 Figurante 6,,,,,,
Page 13.2,1,0.5,#tdm_21 Criança 3,#tdm_21 Mãe 1,,,,,,
Page 14,1,1,Maurício de Souza,Dud Van Winkle,#tdm_21 Figurante 7,,,,,
Page 15,1,1,Maurício de Souza,Dud Van Winkle,,,,,,
Page 16.1,1,0.5,Dud Van Winkle,,,,,,,
Page 16.2,1,0.5,Magali,Dudu,,,,,,
Page 17.1,1,0.5,Magali,Dudu,,,,,,
Page 17.2,1,0.5,Dudu,Penadinho,,,,,,
Page 18.1,1,0.5,Magali,Dudu,Maurício de Souza,,,,,
Page 18.2,,0.5,Maurício de Souza,Dud Van Winkle,,,,,,
Page 19,,,,,,,,,,
Page 20,2,1,Cascão,,,,,,,
Page 21,2,1,Cascão,,,,,,,
Page 22,3,1,Mônica,Cebolinha,Magali,Sansão,,,,
Page 23,3,1,Mônica,Magali,Cascão,Sansão,,,,
Page 24,3,1,Mônica,Magali,Xaveco,Sansão,,,,
Page 25,4,1,Monicão,Mingau,,,,,,
Page 26,4,1,Mônica,Magali,Sansão,Monicão,Floquinho,Mingau,Chovinista,Radar
Page 27,4,1,Franjinha,Monicão,Floquinho,Mingau,Chovinista,Bidu,Radar,
Page 28,5,1,Zé Vampir,Lobi,,,,,,
Page 29,5,1,Penadinho,Muminho,Zé Vampir,Frank,,,,
Page 30,6,1,Mônica,Magali,Marina,#tdm_21 Figurante 8,,,,
Page 31,,,,,,,,,,
Page 32,7,1,Mônica,Cebolinha,Cascão,Titi,Super Homão,,,
Page 33,,,,,,,,,,
Page 34,,,,,,,,,,
Page 35,,,,,,,,,,
Page 36,8,1,Piteco,#tdm_21 Homem das Cavernas 1,#tdm_21 Homem das Cavernas 2,,,,,
Page 37,8,1,Piteco,#tdm_21 Homem das Cavernas 1,#tdm_21 Homem das Cavernas 2,,,,,
Page 38,8,1,Piteco,#tdm_21 Homem das Cavernas 1,#tdm_21 Homem das Cavernas 2,,,,,
Page 39,8,1,Piteco,#tdm_21 Animal 11,#tdm_21 Dinossauro 1,,,,,
Page 40,8,1,Piteco,Bolota,#tdm_21 Homem das Cavernas 3,,,,,
Page 41,,,,,,,,,,
Page 42,9,1,Dudu,,,,,,,
Page 43,9,1,Dudu,,,,,,,
Page 44,9,1,Dudu,Dona Cecília,,,,,,
Page 45,10,1,Magali,Franjinha,,,,,,
Page 46,10,1,Magali,Franjinha,,,,,,
Page 47,10,1,Magali,Franjinha,,,,,,
Page 48,10,1,Franjinha,,,,,,,
Page 49,10,1,Magali,Franjinha,,,,,,
Page 50,10,1,Magali,Franjinha,,,,,,
Page 51,10,1,Magali,Franjinha,,,,,,
Page 52,11,1,Magali,Dona Lili,,,,,,
Page 53,11,1,Magali,Anjo da Guarda da Magali,,,,,,
Page 54,,,,,,,,,,
Page 55,12,1,Bidu,Dona Pedra,,,,,,
Page 56,12,1,Bidu,Dona Pedra,Manfredo,,,,,
Page 57,12,1,Bidu,Manfredo,#tdm_21 Desenhista 1,#tdm_21 Desenhista 2,#tdm_21 Desenhista 3,,,
Page 58,12,1,Bidu,Manfredo,Dona Pedra,,,,,
Page 59,12,1,Bidu,Manfredo,Dona Pedra,,,,,
Page 60,12,1,Bidu,Manfredo,Dona Pedra,,,,,
Page 61,12,1,Bidu,Manfredo,Dona Pedra,,,,,
Page 62,12,1,Bidu,Manfredo,Dona Pedra,,,,,
Page 63,12,1,Bidu,Manfredo,Dona Pedra,,,,,
Page 64,12,1,Bidu,Manfredo,#tdm_21 Desenhista 1,#tdm_21 Desenhista 2,#tdm_21 Desenhista 3,,,
Page 65.1,12,0.5,Bidu,Manfredo,#tdm_21 Desenhista 1,#tdm_21 Desenhista 2,#tdm_21 Desenhista 3,,,
Page 65.2,,0.5,Bidu,Dona Pedra,,,,,,
Page 66,13,1,Lobi,,,,,,,
Page 67,,,,,,,,,,
Page 68,,,,,,,,,,
