Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11
Page 1,Capa,1,Seu Cebola,Cebolinha,Mônica,Cascão,,,,,,,
Page 2,,,,,,,,,,,,,
Page 3,,1,Seu Cebola,Cebolinha,,,,,,,,,
Page 4,1,1,Cebolinha,Seu Cebola,#tdm03 Atendente 1,#tdm03 Atendente 2,#tdm03 Criança 1,#tdm03 Criança 2,#tdm03 Criança 3,#tdm03 Criança 4,,,
Page 5,1,1,Cebolinha,Seu Cebola,#tdm03 Criança 5,#tdm03 Criança 6,#tdm03 Criança 7,#tdm03 Pai 1,,,,,
Page 6,1,1,Cebolinha,Seu Cebola,#tdm03 Criança 8,#tdm03 Criança 9,#tdm03 Criança 10,#tdm03 Mãe 1,#tdm03 Atendente 3,,,,
Page 7,1,1,Cebolinha,Seu Cebola,#tdm03 Criança 11,#tdm03 Criança 12,,,,,,,
Page 8,1,1,Cebolinha,Seu Cebola,#tdm03 Criança 12,,,,,,,,
Page 9,1,1,Cebolinha,Seu Cebola,#tdm03 Criança 12,,,,,,,,
Page 10,1,1,Cebolinha,Seu Cebola,#tdm03 Atendente 4,,,,,,,,
Page 11,1,1,Cebolinha,Seu Cebola,#tdm03 Criança 13,,,,,,,,
Page 12,1,1,Cebolinha,Seu Cebola,#tdm03 Criança 14,#tdm03 Criança 15,,,,,,,
Page 13,1,1,Cebolinha,Seu Cebola,#tdm03 Criança 14,#tdm03 Criança 15,,,,,,,
Page 14,1,1,Cebolinha,Seu Cebola,#tdm03 Criança 16,#tdm03 Criança 17,#tdm03 Criança 18,#tdm03 Criança 19,#tdm03 Criança 20,,,,
Page 15,1,1,Cebolinha,Seu Cebola,#tdm03 Criança 21,#tdm03 Criança 22,#tdm03 Criança 23,,,,,,
Page 16,1,1,Cebolinha,Seu Cebola,#tdm03 Mãe 2,#tdm03 Bebê,#tdm03 Pai 2,,,,,,
Page 17,1,1,Cebolinha,Seu Cebola,#tdm03 Bebê,#tdm03 Pai 2,,,,,,,
Page 18,1,1,Cebolinha,Seu Cebola,#tdm03 Jogador 1,#tdm03 Jogador 2,#tdm03 Jogador 3,#tdm03 Jogador 4,#tdm03 Jogador 5,Dona Cebola,#tdm03 Pai 2,#tdm03 Bebê,
Page 19,1,1,Cebolinha,Seu Cebola,,,,,,,,,
Page 20,1,1,Cebolinha,Seu Cebola,#tdm03 Animal 1,#tdm03 Animal 2,,,,,,,
Page 21,,,,,,,,,,,,,
Page 22,2,1,Mônica,Sansão,Magali,,,,,,,,
Page 23,2,1,Cebolinha,Magali,Cascão,Xaveco,#tdm03 Figurante 1,,,,,,
Page 24,3,1,Cascão,#tdm03 Figurante 2,#tdm03 Figurante 3,#tdm03 Figurante 4,,,,,,,
Page 25,3,1,Cascão,#tdm03 Figurante 5,#tdm03 Figurante 6,#tdm03 Figurante 7,#tdm03 Figurante 8,,,,,,
Page 26,3,1,Cascão,Dona Lurdinha,#tdm03 Figurante 9,,,,,,,,
Page 27,,,,,,,,,,,,,
Page 28,4,1,Piteco,Vartolo,#tdm03 Dinossauro 1,,,,,,,,
Page 29,4,1,Piteco,Vartolo,Bolota,,,,,,,,
Page 30,4,1,Piteco,Vartolo,Bolota,,,,,,,,
Page 31,4,1,Piteco,Vartolo,#tdm03 Homem das Cavernas 1,,,,,,,,
Page 32,4,1,#tdm03 Homem das Cavernas 1,Piteco,Vartolo,Bolota,#tdm03 Homem das Cavernas 6,,,,,,
Page 33,4,1,Piteco,Vartolo,Bolota,#tdm03 Homem das Cavernas 1,#tdm03 Homem das Cavernas 2,#tdm03 Homem das Cavernas 3,,,,,
Page 34,4,1,Piteco,Vartolo,Bolota,#tdm03 Homem das Cavernas 7,#tdm03 Homem das Cavernas 8,#tdm03 Homem das Cavernas 9,#tdm03 Homem das Cavernas 10,#tdm03 Homem das Cavernas 11,,,
Page 35,4,1,#tdm03 Homem das Cavernas 1,#tdm03 Homem das Cavernas 2,#tdm03 Homem das Cavernas 3,#tdm03 Homem das Cavernas 4,#tdm03 Homem das Cavernas 5,Piteco,Bolota,Vartolo,#tdm03 Homem das Cavernas 6,#tdm03 Homem das Cavernas 7,#tdm03 Homem das Cavernas 8
Page 36,5,1,Zé Vampir,#tdm03 Figurante 10,,,,,,,,,
Page 37,,,,,,,,,,,,,
Page 38,,,,,,,,,,,,,
Page 39,,,,,,,,,,,,,
Page 40,6,1,Penadinho,#tdm03 Figurante 11,#tdm03 Figurante 12,#tdm03 Figurante 13,,,,,,,
Page 41,6,1,Penadinho,,,,,,,,,,
Page 42,6,1,Penadinho,Frank,,,,,,,,,
Page 43,6,1,Penadinho,Frank,Zé Vampir,Muminho,Zé Caveirinha,,,,,,
Page 44,6,1,Penadinho,Frank,Zé Vampir,Muminho,Zé Caveirinha,Lobi,Dona Morte,Alminha,#tdm03 Fantasma 1,#tdm03 Fantasma 2,
Page 45,,,,,,,,,,,,,
Page 46,7,1,Mônica,Cebolinha,Cascão,Sansão,,,,,,,
Page 47,7,1,Mônica,Cebolinha,Cascão,Sansão,,,,,,,
Page 48,8,1,Papa-Capim,Caiapopó,,,,,,,,,
Page 49,8,1,Papa-Capim,Caiapopó,Onça,,,,,,,,
Page 50,8,1,Papa-Capim,Caiapopó,Onça,,,,,,,,
Page 51,8,1,Papa-Capim,Caiapopó,Onça,,,,,,,,
Page 52,9,1,Zé Lelé,,,,,,,,,,
Page 53,9,1,Zé Lelé,,,,,,,,,,
Page 54,10,1,Cebolinha,Sansão,Mônica,,,,,,,,
Page 55,10,1,Cebolinha,Sansão,Mônica,,,,,,,,
Page 56,,,,,,,,,,,,,
Page 57,11,1,Humberto,,,,,,,,,,
Page 58,11,1,Humberto,,,,,,,,,,
Page 59,11,1,Humberto,,,,,,,,,,
Page 60,11,1,Humberto,,,,,,,,,,
Page 61,11,1,Humberto,Tarugo,,,,,,,,,
Page 62,11,1,Humberto,#tdm03 Figurante 14,"['#tdm03 Figurante 15', '#tdm03 Figurante 16', '#tdm03 Figurante 17', '#tdm03 Figurante 18', '#tdm03 Figurante 19', '#tdm03 Figurante 20', '#tdm03 Figurante 21', '#tdm03 Figurante 22', '#tdm03 Figurante 23', '#tdm03 Figurante 24']",,,,,,,,
Page 63,11,1,Humberto,,,,,,,,,,
Page 64,11,1,Humberto,#tdm03 Tritão 1,,,,,,,,,
Page 65,11,1,Humberto,#tdm03 Pai 3,#tdm03 Criança 24,#tdm03 Tritão 1,#tdm03 Tritão 2,#tdm03 Tritão 3,,,,,
Page 66,12,1,Penadinho,Alminha,Zé Vampir,,,,,,,,
