Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23,Character 24,Character 25,Character 26
Page 1,Capa,1,Cascão,Cebolinha,Mônica,#tdm_23 Duende,#tdm_23 Múmia,,,,,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,1,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,
Page 4,1,1,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,
Page 5,1,1,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,
Page 6,1,1,Mônica,#tdm_23 Duende,#tdm_23 Mãe 1,#tdm_23 Pai 1,Dona Luísa,#tdm_23 Criança 1,#tdm_23 Criança 2,#tdm_23 Criança 3,#tdm_23 Criança 4,#tdm_23 Criança 5,#tdm_23 Criança 6,#tdm_23 Criança 7,#tdm_23 Criança 8,#tdm_23 Criança 9,#tdm_23 Criança 10,#tdm_23 Criança 11,#tdm_23 Sombra 1,#tdm_23 Sombra 2,#tdm_23 Sombra 3,#tdm_23 Sombra 4,#tdm_23 Sombra 5,#tdm_23 Sombra 6,#tdm_23 Sombra 7,#tdm_23 Sombra 8,#tdm_23 Sombra 9,#tdm_23 Sombra 10
Page 7,1,1,Mônica,#tdm_23 Duende,Dona Luísa,,,,,,,,,,,,,,,,,,,,,,,
Page 8,1,1,Mônica,#tdm_23 Duende,Dona Luísa,,,,,,,,,,,,,,,,,,,,,,,
Page 9,1,1,Mônica,#tdm_23 Duende,Dona Luísa,#tdm_23 Criança 12,#tdm_23 Criança 13,,,,,,,,,,,,,,,,,,,,,
Page 10,1,1,#tdm_23 Duende,#tdm_23 Atendente 1,#tdm_23 Sombra 11,#tdm_23 Mãe 2,#tdm_23 Mãe 3,#tdm_23 Pai 2,#tdm_23 Pai 3,#tdm_23 Criança 14,#tdm_23 Criança 15,#tdm_23 Criança 16,#tdm_23 Criança 17,#tdm_23 Criança 18,#tdm_23 Criança 19,#tdm_23 Criança 20,#tdm_23 Criança 21,#tdm_23 Criança 22,#tdm_23 Criança 23,,,,,,,,,
Page 11,1,1,#tdm_23 Duende,#tdm_23 Atendente 1,Mônica,Dona Luísa,#tdm_23 Pai 4,#tdm_23 Criança 24,#tdm_23 Atendente 2,,,,,,,,,,,,,,,,,,,
Page 12,1,1,Mônica,Dona Luísa,#tdm_23 Duende,,,,,,,,,,,,,,,,,,,,,,,
Page 13,1,1,#tdm_23 Duende,#tdm_23 Atendente 3,#tdm_23 Atendente 4,#tdm_23 Criança 25,#tdm_23 Criança 26,,,,,,,,,,,,,,,,,,,,,
Page 14,1,1,#tdm_23 Duende,Mônica,,,,,,,,,,,,,,,,,,,,,,,,
Page 15,1,1,#tdm_23 Duende,Mônica,#tdm_23 Criança 27,#tdm_23 Criança 28,,,,,,,,,,,,,,,,,,,,,,
Page 16,1,1,#tdm_23 Duende,Mônica,#tdm_23 Criança 29,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,
Page 17,1,1,#tdm_23 Duende,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 18,1,1,#tdm_23 Duende,#tdm_23 Criança 30,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 19,1,1,#tdm_23 Duende,Mônica,#tdm_23 Atendente 5,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,
Page 20,1,1,#tdm_23 Duende,Mônica,#tdm_23 Criança 31,#tdm_23 Criança 32,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,
Page 21,1,1,#tdm_23 Duende,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 22,1,1,#tdm_23 Duende,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 23,1,1,#tdm_23 Duende,#tdm_23 Duende 2,#tdm_23 Duende 3,#tdm_23 Duende 4,,,,,,,,,,,,,,,,,,,,,,
Page 24,1,1,#tdm_23 Duende,#tdm_23 Duende 2,#tdm_23 Duende 3,#tdm_23 Duende 4,#tdm_23 Duende 5,Papai Noel,,,,,,,,,,,,,,,,,,,,
Page 25,1,1,#tdm_23 Duende,#tdm_23 Duende 2,#tdm_23 Duende 3,#tdm_23 Duende 4,#tdm_23 Duende 5,#tdm_23 Duende 6,#tdm_23 Duende 7,Papai Noel,,,,,,,,,,,,,,,,,,
Page 26,1,1,#tdm_23 Duende,#tdm_23 Duende 2,#tdm_23 Duende 3,#tdm_23 Duende 4,#tdm_23 Duende 5,Papai Noel,,,,,,,,,,,,,,,,,,,,
