Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21
Page 1,Capa,1,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,1,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,
Page 4,1,1,#tdm_25 Criança 1,#tdm_25 Criança 2,Dona Cebola,Cebolinha,Cascão,#tdm_25 Animal 1,#tdm_25 Animal 2,#tdm_25 Sombra 1,#tdm_25 Sombra 2,,,,,,,,,,,,
Page 5,1,1,Cebolinha,Cascão,#tdm_25 Figurante 1,#tdm_25 Criança 3,#tdm_25 Criança 4,#tdm_25 Criança 5,#tdm_25 Sombra 3,#tdm_25 Sombra 4,#tdm_25 Sombra 5,#tdm_25 Sombra 6,#tdm_25 Sombra 7,#tdm_25 Sombra 8,#tdm_25 Sombra 9,#tdm_25 Sombra 10,#tdm_25 Sombra 11,#tdm_25 Sombra 12,#tdm_25 Sombra 13,#tdm_25 Sombra 14,#tdm_25 Sombra 15,#tdm_25 Sombra 16,Sansão
Page 6,1,1,Sansão,Cebolinha,Cascão,Mônica,#tdm_25 Sombra 17,#tdm_25 Sombra 18,#tdm_25 Sombra 19,#tdm_25 Sombra 20,#tdm_25 Sombra 21,#tdm_25 Sombra 22,,,,,,,,,,,
Page 7,1,1,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,
Page 8,1,1,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,
Page 9,1,1,Mônica,Cebolinha,Cascão,Cérebro do Cebolinha,,,,,,,,,,,,,,,,,
Page 10,1,1,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,
Page 11,1,1,Cebolinha,Cascão,Sansão,,,,,,,,,,,,,,,,,,
Page 12,1,1,Cebolinha,Cascão,Sansão,,,,,,,,,,,,,,,,,,
Page 13,1,1,Cebolinha,Cascão,Sansão,,,,,,,,,,,,,,,,,,
Page 14,1,1,Cebolinha,Cascão,Sansão,#tdm_25 Criança 6,#tdm_25 Criança 7,,,,,,,,,,,,,,,,
Page 15,1,1,Cebolinha,Cascão,Sansão,#tdm_25 Criança 8,#tdm_25 Atendente 1,Mônica,,,,,,,,,,,,,,,
Page 16,1,1,Cebolinha,Cascão,Sansão,,,,,,,,,,,,,,,,,,
Page 17,1,1,Cebolinha,Cascão,#tdm_25 Criança 9,,,,,,,,,,,,,,,,,,
Page 18,1,1,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,
Page 19,1,1,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,
Page 20,1,1,Cebolinha,Cascão,#tdm_25 Figurante 2,,,,,,,,,,,,,,,,,,
Page 21,1,1,Cebolinha,Cascão,#tdm_25 Figurante 2,Mônica,,,,,,,,,,,,,,,,,
Page 22,1,1,Cebolinha,Cascão,#tdm_25 Figurante 2,Mônica,,,,,,,,,,,,,,,,,
Page 23,1,1,Cebolinha,Cascão,Cérebro do Cebolinha,Mônica,,,,,,,,,,,,,,,,,
Page 24,1,1,#tdm_25 Figurante 2,Cebolinha,Cascão,Mônica,Dona Cebola,#tdm_25 Mãe 1,#tdm_25 Criança 10,#tdm_25 Sombra 23,,,,,,,,,,,,,
Page 25,2,1,Sansão,Cebolinha,Mônica,Magali,,,,,,,,,,,,,,,,,
Page 26,2,1,Magali,Mônica,Sansão,,,,,,,,,,,,,,,,,,
Page 27,2,1,Magali,Mônica,Sansão,Cascão,,,,,,,,,,,,,,,,,
Page 28,3,1,Mônica,,,,,,,,,,,,,,,,,,,,
Page 29,3,1,Mônica,Sansão,Cebolinha,,,,,,,,,,,,,,,,,,
Page 30,,,,,,,,,,,,,,,,,,,,,,,
Page 31,,,,,,,,,,,,,,,,,,,,,,,
Page 32,4,1,Mônica,Sansão,Cebolinha,Cascão,,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,,
Page 36,5,1,Cebolinha,Mônica,Dona Cebola,Sansão,,,,,,,,,,,,,,,,,
Page 37,5,1,Cebolinha,Mônica,Dona Cebola,Sansão,,,,,,,,,,,,,,,,,
Page 38,6,1,Penadinho,Cupido,Frank,#tdm_25 Figurante 3,,,,,,,,,,,,,,,,,
Page 39,6,1,Penadinho,Zé Vampir,Lobi,#tdm_25 Animal 3,#tdm_25 Animal 4,Cupido,,,,,,,,,,,,,,,
Page 40,6,1,Frank,#tdm_25 Figurante 3,Lobi,#tdm_25 Animal 3,Zé Vampir,#tdm_25 Animal 4,Penadinho,Cupido,Alminha,,,,,,,,,,,,
Page 41,,,,,,,,,,,,,,,,,,,,,,,
Page 42,7,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,
Page 43,8,1,Rolo,Verinha,,,,,,,,,,,,,,,,,,,
Page 44,8,1,Rolo,Verinha,,,,,,,,,,,,,,,,,,,
Page 45,8,1,Rolo,Verinha,#tdm_25 Figurante 4,,,,,,,,,,,,,,,,,,
Page 46,9,1,Luca,,,,,,,,,,,,,,,,,,,,
Page 47,9,1,Luca,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,
Page 48,9,1,Luca,Cebolinha,Cascão,Mônica,Sansão,,,,,,,,,,,,,,,,
