Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23,Character 24,Character 25,Character 26,Character 27,Character 28,Character 29,Character 30
Page 1,Capa,1,Mônica,Marina,Cebolinha,Cascão,Xaveco,Nimbus,Do Contra,Humberto,Jeremias,,,,,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,1,Denise,Mônica,Carminha Frufru,Denise,Magali,,,,,,,,,,,,,,,,,,,,,,,,,
Page 4,1,1,Marina,Mônica,Magali,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 5,1,1,Marina,Mônica,Magali,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 6,1,1,Mônica,Magali,#tdm_26 Sombra 1,#tdm_26 Sombra 2,#tdm_26 Sombra 3,#tdm_26 Sombra 4,,,,,,,,,,,,,,,,,,,,,,,,
Page 7,1,1,Marina,Mônica,Magali,#tdm_26 Sombra 5,#tdm_26 Sombra 6,#tdm_26 Sombra 7,#tdm_26 Sombra 8,,,,,,,,,,,,,,,,,,,,,,,
Page 8,1,1,Marina,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 9,1,1,Mônica,Marina,Cebolinha,Cascão,#tdm_26 Criança 1,#tdm_26 Criança 2,#tdm_26 Criança 3,#tdm_26 Sombra 9,#tdm_26 Sombra 10,#tdm_26 Sombra 11,,,,,,,,,,,,,,,,,,,,
Page 10,1,1,Cascão,Cebolinha,Mônica,Marina,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 11,1,1,Cascão,Cebolinha,Marina,Magali,Mônica,Nimbus,Xaveco,Humberto,,,,,,,,,,,,,,,,,,,,,,
Page 12,1,1,Cascão,Cebolinha,Marina,Magali,Mônica,Nimbus,Xaveco,Humberto,Denise,Carminha Frufru,,,,,,,,,,,,,,,,,,,,
Page 13,1,1,Cascão,Cebolinha,Marina,Magali,Mônica,Nimbus,Xaveco,Humberto,Denise,Carminha Frufru,,,,,,,,,,,,,,,,,,,,
Page 14,1,1,Cascão,Cebolinha,Magali,Mônica,Nimbus,Xaveco,Humberto,Carminha Frufru,,,,,,,,,,,,,,,,,,,,,,
Page 15,1,1,Cascão,Cebolinha,Marina,Magali,Mônica,Nimbus,Xaveco,Humberto,Denise,Carminha Frufru,,,,,,,,,,,,,,,,,,,,
