Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23,Character 24,Character 25,Character 26,Character 27,Character 28,Character 29,Character 30,Character 31,Character 32,Character 33,Character 34,Character 35,Character 36,Character 37,Character 38,Character 39,Character 40,Character 41
Page 1,Capa,1,Cebolinha,Cascão,Mônica,Cebolinha do Futuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,1,Cebolinha,Cascão,Mônica,Cebolinha do Futuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 4,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 5,1,1,Cascão,Cebolinha,#tdm_28 Pai 1,#tdm_28 Criança 1,#tdm_28 Criança 2,#tdm_28 Criança 3,#tdm_28 Criança 4,#tdm_28 Figurante 1,Cebolinha do Futuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 6,1,1,Cascão,Cebolinha do Futuro,#tdm_28 Criança 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 7,1,1,Cascão,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 8,1,1,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 9,1,1,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 10,1,1,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 11,1,1,Cebolinha,Cebolinha do Futuro,Filho do Cebolinha do Futuro,Franjinha do Futuro,#tdm_28 Criança 6,#tdm_28 Criança 7,#tdm_28 Criança 8,#tdm_28 Criança 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 12,1,1,Cascão,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 13,1,1,Cascão,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 14,1,1,Cascão,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 15,1,1,Cascão,Cebolinha,Cebolinha do Futuro,Seu Antenor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 16,1,1,#tdm_28 Criança 10,#tdm_28 Criança 11,Cebolinha,Cebolinha do Futuro,Muminho,Zé Vampir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 17,1,1,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 18,1,1,Cebolinha,Cebolinha do Futuro,Mônica,Sansão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 19,1,1,Cebolinha,Cebolinha do Futuro,Mônica,Sansão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 20,1,1,Cebolinha,Cebolinha do Futuro,Mônica,Sansão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 21,1,1,Cebolinha,Cebolinha do Futuro,Mônica,#tdm_28 Mãe 1,#tdm_28 Criança 12,#tdm_28 Criança 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 22,1,1,Cebolinha,Cebolinha do Futuro,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 23,1,1,Cebolinha,Cebolinha do Futuro,Mônica,Mônica do Futuro,Filho do Cebolinha do Futuro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 25,2,1,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 26,2,1,Cebolinha,Louco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 27,2,1,Cebolinha,Louco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 28,2,1,Cebolinha,Louco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 29,2,1,Cebolinha,Louco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 30,2,1,Cebolinha,Louco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 31,2,1,Cebolinha,Louco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 32,2,1,Cebolinha,Louco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 33,2,1,Cebolinha,Louco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 38,3,1,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 39,3,1,Mônica,Cebolinha,Magali,Sansão,#tdm_28 Animal 1,#tdm_28 Animal 2,#tdm_28 Animal 3,#tdm_28 Animal 4,#tdm_28 Animal 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
