Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15
Page 1,Capa,1,Cascão,Cebolinha,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,
Page 3,,1,Cebolinha,Cascão,,,,,,,,,,,,,
Page 4,1,1,Cascão,Cebolinha,#tdm_29 Criança 1,#tdm_29 Criança 2,#tdm_29 Criança 3,,,,,,,,,,
Page 5,1,1,Cebolinha,Cascão,Seu Antenor,,,,,,,,,,,,
Page 6,1,1,Cebolinha,Cascão,Seu Antenor,,,,,,,,,,,,
Page 7,1,1,Cebolinha,Cascão,#tdm_29 Atendente 1,#tdm_29 Criança 4,#tdm_29 Sombra 1,#tdm_29 Sombra 2,#tdm_29 Sombra 3,#tdm_29 Sombra 4,#tdm_29 Sombra 5,#tdm_29 Sombra 6,#tdm_29 Sombra 7,#tdm_29 Sombra 8,#tdm_29 Sombra 9,#tdm_29 Sombra 10,#tdm_29 Sombra 11
Page 8,1,1,Cebolinha,Cascão,#tdm_29 Criança 5,#tdm_29 Criança 6,#tdm_29 Figurante 1,#tdm_29 Figurante 2,#tdm_29 Sombra 12,#tdm_29 Sombra 13,#tdm_29 Sombra 14,#tdm_29 Sombra 15,,,,,
Page 9,1,1,Cebolinha,Cascão,,,,,,,,,,,,,
Page 10,1,1,Cebolinha,Cascão,,,,,,,,,,,,,
Page 11,1,1,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,
Page 12,1,1,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,
Page 13,1,1,Sansão,Cebolinha,Cascão,Mônica,#tdm_29 Criança 7,,,,,,,,,,
Page 14,1,1,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,
Page 15,1,1,Sansão,Cascão,Cebolinha,Mônica,,,,,,,,,,,
Page 16,1,1,Sansão,Cascão,Cebolinha,Mônica,,,,,,,,,,,
Page 17,1,1,Sansão,Cascão,Cebolinha,Mônica,#tdm_29 Atendente 2,#tdm_29 Criança 8,,,,,,,,,
Page 18,1,1,Sansão,Cascão,Cebolinha,Mônica,,,,,,,,,,,
