Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20
Page 1,Capa,1,Cascão,Cebolinha,Maria Cascuda,Mônica,Magali,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,
Page 3,1,1,Maria Cascuda,Magali,Denise,Mônica,,,,,,,,,,,,,,,,
Page 4,1,1,Mônica,Denise,Maria Cascuda,,,,,,,,,,,,,,,,,
Page 5,1,1,Mônica,Maria Cascuda,Denise,Magali,,,,,,,,,,,,,,,,
Page 6,1,1,Mônica,Maria Cascuda,Denise,Magali,Cebolinha,Cascão,#tdm_31 Sombra 1,#tdm_31 Sombra 2,#tdm_31 Sombra 3,#tdm_31 Sombra 4,#tdm_31 Sombra 5,#tdm_31 Sombra 6,#tdm_31 Sombra 7,#tdm_31 Sombra 8,#tdm_31 Sombra 9,#tdm_31 Sombra 10,,,,
Page 7,1,1,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,
Page 8,1,1,Cebolinha,Cascão,Xaveco,#tdm_31 Criança 1,#tdm_31 Criança 2,#tdm_31 Criança 3,#tdm_31 Criança 4,#tdm_31 Criança 5,#tdm_31 Criança 6,#tdm_31 Criança 7,,,,,,,,,,
Page 9,1,1,Cebolinha,Xaveco,Mônica,Denise,Maria Cascuda,Magali,Fabinho Boa Pinta,,,,,,,,,,,,,
Page 10,1,1,Mônica,Denise,Maria Cascuda,Magali,Fabinho Boa Pinta,Cebolinha,Cascão,Xaveco,#tdm_31 Criança 8,#tdm_31 Sombra 11,#tdm_31 Sombra 12,,,,,,,,,
Page 11,1,1,Mônica,Denise,Maria Cascuda,Magali,Fabinho Boa Pinta,Cebolinha,Cascão,,,,,,,,,,,,,
Page 12,1,1,Mônica,Denise,Maria Cascuda,Magali,Ricardinho,Cebolinha,Cascão,Xaveco,,,,,,,,,,,,
Page 13,1,1,Mônica,Denise,Maria Cascuda,Magali,Ricardinho,,,,,,,,,,,,,,,
Page 14,1,1,Mônica,Denise,Maria Cascuda,Magali,Bernardinho,Cebolinha,Cascão,Xaveco,#tdm_31 Criança 9,#tdm_31 Sombra 13,#tdm_31 Sombra 14,#tdm_31 Sombra 15,#tdm_31 Sombra 16,#tdm_31 Sombra 17,#tdm_31 Sombra 18,#tdm_31 Sombra 19,#tdm_31 Sombra 20,#tdm_31 Sombra 21,#tdm_31 Sombra 22,#tdm_31 Sombra 23
Page 15,1,1,Mônica,Denise,Maria Cascuda,Bernardinho,Luca,,,,,,,,,,,,,,,
Page 16,1,1,Mônica,Denise,Maria Cascuda,Magali,Luca,Cebolinha,Cascão,Xaveco,,,,,,,,,,,,
Page 17,1,1,Mônica,Denise,Maria Cascuda,Magali,Cebolinha,Cascão,Xaveco,,,,,,,,,,,,,
Page 18,1,1,Mônica,Denise,Maria Cascuda,Magali,Cebolinha,Cascão,Xaveco,Quinzinho,#tdm_31 Criança 10,,,,,,,,,,,
Page 19,1,1,Mônica,Denise,Maria Cascuda,Cebolinha,Cascão,Xaveco,Bernardinho,Fabinho Boa Pinta,Ricardinho,Luca,Sansão,,,,,,,,,
Page 20,2,1,Bolota,Thuga,,,,,,,,,,,,,,,,,,
Page 21,2,1,Thuga,Bolota,Piteco,,,,,,,,,,,,,,,,,
Page 22,,,,,,,,,,,,,,,,,,,,,,
Page 23,,,,,,,,,,,,,,,,,,,,,,
Page 24,3,1,Dona Luísa,Mônica,Sansão,Cebolinha,Dona Cebola,Cascão,Dona Lurdinha,Magali,Dona Lili,,,,,,,,,,,
Page 25,3,1,Magali,Dona Lili,,,,,,,,,,,,,,,,,,
Page 26,4,1,Maria Cebolinha,Dudu,,,,,,,,,,,,,,,,,,
Page 27.1,4,0.5,Cebolinha,Cascão,Dudu,Maria Cebolinha,,,,,,,,,,,,,,,,
Page 27.2,4,0.5,Cebolinha,Cascão,Titi,Jeremias,Manezinho,,,,,,,,,,,,,,,
Page 28.1,4,0.5,Cebolinha,Cascão,Titi,Jeremias,Manezinho,Xabéu,Zé Luís,,,,,,,,,,,,,
Page 28.2,4,0.5,Xabéu,Zé Luís,Seu Cebola,,,,,,,,,,,,,,,,,
Page 29.1,4,0.5,Xabéu,Zé Luís,Seu Cebola,,,,,,,,,,,,,,,,,
Page 29.2,,0.5,Seu Cebola,Maria Cebolinha,,,,,,,,,,,,,,,,,,
Page 30,5,1,Sansão,Mônica,Cebolinha,,,,,,,,,,,,,,,,,
Page 31,5,1,Sansão,Mônica,Cebolinha,,,,,,,,,,,,,,,,,
Page 32,6,1,Cascão,#tdm_31 Animal 1,#tdm_31 Animal 2,#tdm_31 Animal 3,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,
Page 36,7,1,Chico Bento,Zé Lelé,#tdm_31 Animal 4,,,,,,,,,,,,,,,,,
Page 37,7,1,Chico Bento,Zé Lelé,#tdm_31 Animal 4,#tdm_31 Bruxo,,,,,,,,,,,,,,,,
Page 38,7,1,Chico Bento,Zé Lelé,#tdm_31 Animal 4,#tdm_31 Bruxo,,,,,,,,,,,,,,,,
Page 39,7,1,Chico Bento,Zé Lelé,#tdm_31 Animal 4,#tdm_31 Abóbora com pernas 1,#tdm_31 Abóbora com pernas 2,#tdm_31 Abóbora com pernas 3,#tdm_31 Abóbora com pernas 4,#tdm_31 Abóbora com pernas 5,#tdm_31 Abóbora com pernas 6,#tdm_31 Abóbora com pernas 7,#tdm_31 Abóbora com pernas 8,#tdm_31 Abóbora com pernas 9,#tdm_31 Abóbora com pernas 10,,,,,,,
Page 40,7,1,Chico Bento,Zé Lelé,#tdm_31 Animal 4,Duende,#tdm_31 Abóbora com pernas 1,#tdm_31 Abóbora com pernas 2,#tdm_31 Abóbora com pernas 3,#tdm_31 Abóbora com pernas 4,#tdm_31 Abóbora com pernas 5,#tdm_31 Abóbora com pernas 6,#tdm_31 Abóbora com pernas 7,#tdm_31 Abóbora com pernas 8,#tdm_31 Abóbora com pernas 9,#tdm_31 Abóbora com pernas 10,,,,,,
Page 41,,,,,,,,,,,,,,,,,,,,,,
Page 42,8,1,Bidu,Magali,,,,,,,,,,,,,,,,,,
Page 43,8,1,Magali,Bidu,Mingau,,,,,,,,,,,,,,,,,
Page 44,8,1,Magali,Mingau,Chovinista,#tdm_31 Animal 5,#tdm_31 Animal 6,#tdm_31 Animal 7,#tdm_31 Animal 8,#tdm_31 Animal 9,#tdm_31 Animal 10,#tdm_31 Animal 11,#tdm_31 Animal 12,#tdm_31 Animal 13,,,,,,,,
Page 45,8,1,Magali,Bidu,Mingau,Chovinista,#tdm_31 Figurante 1,,,,,,,,,,,,,,,
Page 46,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 47,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 48,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 49,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 50,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 51,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 52,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 53,9,1,Penadinho,Zé Vampir,Alminha,,,,,,,,,,,,,,,,,
Page 54,9,1,,,,,,,,,,,,,,,,,,,,
Page 55,10,1,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,
Page 56,11,1,Cebolinha,Mônica,Floquinho,Sansão,,,,,,,,,,,,,,,,
