Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23,Character 24,Character 25,Character 26,Character 27,Character 28
Page 1,Capa,1,Dudu,Magali,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,1,1,Dudu,Magali,#tdm13 Princesa,,,,,,,,,,,,,,,,,,,,,,,,,
Page 4,1,1,Dona Cecília,Dudu,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 5,1,1,Dona Cecília,Dudu,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 6,1,1,Dona Cecília,Dudu,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 7,1,1,Dona Cecília,Dudu,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 8,1,1,Dona Cecília,Magali,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 9,1,1,Dona Cecília,Magali,Dudu,,,,,,,,,,,,,,,,,,,,,,,,,
Page 10,1,1,Dudu,Magali,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 11,1,1,Dudu,Magali,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 12,1,1,Dudu,Magali,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 13,1,1,Dudu,Magali,Dona Cecília,,,,,,,,,,,,,,,,,,,,,,,,,
Page 14,1,1,Dudu,Magali,Dona Cecília,#tdm13 Atendente 1,#tdm13 Criança 1,#tdm13 Criança 2,#tdm13 Criança 3,#tdm13 Criança 4,#tdm13 Criança 5,#tdm13 Sombra 1,#tdm13 Sombra 2,#tdm13 Sombra 3,#tdm13 Sombra 4,#tdm13 Sombra 5,#tdm13 Sombra 6,#tdm13 Sombra 7,#tdm13 Sombra 8,#tdm13 Sombra 9,#tdm13 Sombra 10,#tdm13 Sombra 11,#tdm13 Sombra 12,#tdm13 Sombra 13,#tdm13 Sombra 14,#tdm13 Sombra 15,#tdm13 Sombra 16,#tdm13 Sombra 17,#tdm13 Sombra 18,#tdm13 Sombra 19
Page 15,1,1,Dudu,Magali,#tdm13 Criança 6,,,,,,,,,,,,,,,,,,,,,,,,,
Page 16,1,1,Dudu,Magali,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 17,1,1,Dudu,Magali,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 18,1,1,Dudu,Magali,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 19,1,1,Dudu,Magali,Dona Cecília,,,,,,,,,,,,,,,,,,,,,,,,,
Page 20,1,1,Dudu,Magali,Dona Cecília,,,,,,,,,,,,,,,,,,,,,,,,,
Page 21,1,1,Dudu,Magali,#tdm13 Figurante 1,#tdm13 Figurante 2,,,,,,,,,,,,,,,,,,,,,,,,
Page 22,2,1,Chico Bento,Rosinha,,,,,,,,,,,,,,,,,,,,,,,,,,
