Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22
Page 1,Capa,1,Jotalhão,Rita Najura,Dudu,Magali,Bidu,Mônica,Cebolinha,Cascão,Bugu,#tdm_33 Animal 1,Mingau,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,1,Cascão,Cebolinha,#tdm_33 Mãe 1,#tdm_33 Pai 1,#tdm_33 Figurante 1,#tdm_33 Figurante 2,#tdm_33 Figurante 3,#tdm_33 Figurante 4,#tdm_33 Figurante 5,#tdm_33 Figurante 6,#tdm_33 Figurante 7,#tdm_33 Criança 1,#tdm_33 Criança 2,#tdm_33 Criança 3,#tdm_33 Criança 4,#tdm_33 Criança 5,#tdm_33 Criança 6,#tdm_33 Criança 7,#tdm_33 Criança 8,#tdm_33 Criança 9,#tdm_33 Criança 10,#tdm_33 Criança 11
Page 4,1,1,Dona Luísa,Mônica,Cebolinha,Cascão,#tdm_33 Atendente 1,#tdm_33 Sombra 1,#tdm_33 Criança 12,#tdm_33 Criança 13,#tdm_33 Criança 14,#tdm_33 Criança 15,,,,,,,,,,,,
Page 5,1,1,Mônica,Cascão,Cebolinha,#tdm_33 Sombra 2,,,,,,,,,,,,,,,,,,
Page 6,1,1,Cascão,Mônica,Cebolinha,Magali,#tdm_33 Criança 16,#tdm_33 Criança 17,,,,,,,,,,,,,,,,
Page 7,1,1,Cascão,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,
Page 8,1,1,Cascão,Mônica,Cebolinha,Magali,#tdm_33 Sombra 3,,,,,,,,,,,,,,,,,
Page 9,1,1,Cascão,Mônica,Cebolinha,Magali,Dona Luísa,#tdm_33 Atendente 2,#tdm_33 Criança 18,#tdm_33 Criança 19,#tdm_33 Criança 20,#tdm_33 Criança 21,,,,,,,,,,,,
Page 10,1,1,Cascão,Mônica,Cebolinha,Magali,Sansão,,,,,,,,,,,,,,,,,
Page 11,1,1,Mônica,,,,,,,,,,,,,,,,,,,,,
Page 12,1,1,Mônica,,,,,,,,,,,,,,,,,,,,,
Page 13,1,1,Mônica,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,
Page 14,1,1,Mônica,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,
Page 15,1,1,Mônica,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,
Page 16,1,1,Cebolinha,Cascão,Irmãs Cebolinhas,Mãe Cebolinha,,,,,,,,,,,,,,,,,,
Page 17,1,1,Irmãs Cebolinhas,Chico Bento,Dona Cotinha,,,,,,,,,,,,,,,,,,,
Page 18,1,1,Irmãs Cebolinhas,Chico Bento,Dona Cotinha,,,,,,,,,,,,,,,,,,,
Page 19,1,1,Mônica,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,
Page 20,1,1,Mônica,Mingau,,,,,,,,,,,,,,,,,,,,
Page 21,1,1,Mônica,Mingau,,,,,,,,,,,,,,,,,,,,
Page 22,1,1,Mônica,Mingau,,,,,,,,,,,,,,,,,,,,
Page 23,1,1,Mônica,Mingau,Bugu,,,,,,,,,,,,,,,,,,,
Page 24,1,1,Mônica,Bugu,Senhor Bacon,,,,,,,,,,,,,,,,,,,
Page 25,1,1,Mônica,Bugu,Senhor Bacon,,,,,,,,,,,,,,,,,,,
Page 26,1,1,Mônica,Bugu,Senhor Bacon,Magali,Dudu,,,,,,,,,,,,,,,,,
Page 27,1,1,Mônica,Dudu,Magali,,,,,,,,,,,,,,,,,,,
Page 28,1,1,Mônica,Dudu,Magali,Marina,,,,,,,,,,,,,,,,,,
Page 29,1,1,Mônica,#tdm_33 Flor 1,#tdm_33 Flor 2,#tdm_33 Flor 3,#tdm_33 Flor 4,#tdm_33 Flor 5,#tdm_33 Flor 6,#tdm_33 Flor 7,,,,,,,,,,,,,,
Page 30,1,1,Mônica,#tdm_33 Flor 1,#tdm_33 Flor 2,#tdm_33 Flor 3,#tdm_33 Flor 4,#tdm_33 Flor 5,#tdm_33 Flor 6,#tdm_33 Flor 7,#tdm_33 Flor 8,#tdm_33 Flor 9,#tdm_33 Flor 10,,,,,,,,,,,
Page 31,1,1,Mônica,Bidu,Monicão,,,,,,,,,,,,,,,,,,,
Page 32,1,1,Mônica,Monicão,,,,,,,,,,,,,,,,,,,,
Page 33,1,1,Mônica,Sansão,#tdm_33 Animal 2,#tdm_33 Animal 3,,,,,,,,,,,,,,,,,,
Page 34,1,1,Sansão,Jotalhão,Rita Najura,,,,,,,,,,,,,,,,,,,
Page 35,1,1,Sansão,Jotalhão,Rita Najura,,,,,,,,,,,,,,,,,,,
Page 36,1,1,Mônica,Jotalhão,Rita Najura,,,,,,,,,,,,,,,,,,,
Page 37,1,1,Mônica,Jotalhão,Rita Najura,,,,,,,,,,,,,,,,,,,
Page 38,1,1,Mônica,Jotalhão,Rita Najura,,,,,,,,,,,,,,,,,,,
Page 39,1,1,Mônica,Jotalhão,Rita Najura,#tdm_33 Animal 4,,,,,,,,,,,,,,,,,,
Page 40,1,1,Mônica,Jotalhão,Rita Najura,#tdm_33 Animal 5,#tdm_33 Cadeirão,,,,,,,,,,,,,,,,,
Page 41,1,1,Mônica,Louco,#tdm_33 Pai 2,#tdm_33 Mãe 2,#tdm_33 Criança 22,#tdm_33 Criança 23,#tdm_33 Criança 24,#tdm_33 Criança 25,#tdm_33 Criança 26,#tdm_33 Criança 27,#tdm_33 Sombra 4,#tdm_33 Sombra 5,#tdm_33 Sombra 6,#tdm_33 Sombra 7,#tdm_33 Sombra 8,,,,,,,
Page 42,,,,,,,,,,,,,,,,,,,,,,,,
Page 43,,,,,,,,,,,,,,,,,,,,,,,,
Page 44,,,,,,,,,,,,,,,,,,,,,,,,
Page 45,,,,,,,,,,,,,,,,,,,,,,,,
Page 46,,,,,,,,,,,,,,,,,,,,,,,,
Page 47,2,1,Bugu,Bidu,,,,,,,,,,,,,,,,,,,,
Page 48,2,1,Bugu,Bidu,#tdm_33 Lorde Orelhão,,,,,,,,,,,,,,,,,,,
