Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19
Page 1,Capa,1,Anjinho,Cascão,Cebolinha,Mônica,Magali,Sansão,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,
Page 3,,1,Anjinho,Cascão,Cebolinha,Mônica,Magali,#tdm15 Anjinho Substituto,,,,,,,,,,,,,
Page 4,1,1,Cascão,Cebolinha,Mônica,Magali,Dona Lili,#tdm15 Pai 1,#tdm15 Criança 1,#tdm15 Sombra 1,#tdm15 Sombra 2,#tdm15 Sombra 3,#tdm15 Sombra 4,,,,,,,,
Page 5,1,1,Cascão,Cebolinha,Mônica,Magali,,,,,,,,,,,,,,,
Page 6,1,1,Cascão,Cebolinha,Mônica,Magali,#tdm15 Mãe 1,#tdm15 Mãe 2,#tdm15 Atendente 1,#tdm15 Criança 2,#tdm15 Criança 3,#tdm15 Criança 4,#tdm15 Criança 5,#tdm15 Sombra 5,#tdm15 Sombra 6,#tdm15 Sombra 7,#tdm15 Sombra 8,,,,
Page 7,1,1,Cascão,Cebolinha,Mônica,Magali,,,,,,,,,,,,,,,
Page 8,1,1,Cascão,Cebolinha,Mônica,Magali,Anjinho,,,,,,,,,,,,,,
Page 9,1,1,Cascão,Cebolinha,Mônica,Magali,Anjinho,,,,,,,,,,,,,,
Page 10,1,1,Mônica,Anjinho,,,,,,,,,,,,,,,,,
Page 11,1,1,Mônica,Anjinho,#tdm15 Pai 2,#tdm15 Criança 6,#tdm15 Criança 7,#tdm15 Criança 8,#tdm15 Criança 9,,,,,,,,,,,,
Page 12,1,1,Mônica,Anjinho,,,,,,,,,,,,,,,,,
Page 13,1,1,Mônica,Anjinho,#tdm15 Criança 10,#tdm15 Criança 11,,,,,,,,,,,,,,,
Page 14,1,1,Cascão,Cebolinha,Mônica,Magali,Anjinho,,,,,,,,,,,,,,
Page 15,1,1,Cascão,Cebolinha,Mônica,Magali,Anjinho,,,,,,,,,,,,,,
Page 16,1,1,Cascão,Cebolinha,Mônica,Magali,Anjinho,,,,,,,,,,,,,,
Page 17,1,1,Anjinho,#tdm15 Anjo 1,#tdm15 Anjo 2,#tdm15 Anjo 3,#tdm15 Anjo 4,#tdm15 Anjo 5,#tdm15 Anjo 6,#tdm15 Anjo 7,#tdm15 Anjo 8,#tdm15 Anjo 9,#tdm15 Anjo 10,#tdm15 Anjo 11,#tdm15 Anjo 12,#tdm15 Anjo 13,#tdm15 Anjo 14,#tdm15 Anjo 15,#tdm15 Anjo 16,#tdm15 Anjo 17,#tdm15 Anjo 18
Page 18,2,1,Astronauta,#tdm15 Monstro 1,,,,,,,,,,,,,,,,,
Page 19,2,1,Astronauta,#tdm15 Monstro 1,,,,,,,,,,,,,,,,,
Page 20,,,,,,,,,,,,,,,,,,,,,
Page 21,3,1,Piteco,#tdm15 Dinossauro 1,,,,,,,,,,,,,,,,,
Page 22,3,1,Piteco,#tdm15 Dinossauro 1,#tdm15 Homem das Cavernas 1,,,,,,,,,,,,,,,,
Page 23,3,1,Piteco,#tdm15 Dinossauro 1,#tdm15 Homem das Cavernas 1,Thuga,Bolota,Vartolo,#tdm15 Homem das Cavernas 8,,,,,,,,,,,,
Page 24,3,1,Piteco,Thuga,Bolota,Vartolo,#tdm15 Homem das Cavernas 8,,,,,,,,,,,,,,
Page 25,3,1,Piteco,#tdm15 Dinossauro 1,#tdm15 Dinossauro 2,Bolota,Vartolo,#tdm15 Homem das Cavernas 8,,,,,,,,,,,,,
Page 26,3,1,Piteco,#tdm15 Dinossauro 1,#tdm15 Dinossauro 2,#tdm15 Dinossauro 3,Bolota,Vartolo,#tdm15 Homem das Cavernas 8,#tdm15 Homem das Cavernas 1,#tdm15 Homem das Cavernas 7,,,,,,,,,,
Page 27,3,1,Piteco,#tdm15 Dinossauro 1,Bolota,Vartolo,#tdm15 Homem das Cavernas 8,#tdm15 Homem das Cavernas 1,#tdm15 Homem das Cavernas 7,#tdm15 Homem das Cavernas 2,#tdm15 Sombra 9,#tdm15 Sombra 10,,,,,,,,,
Page 28,3,1,Piteco,Thuga,Bolota,Vartolo,#tdm15 Homem das Cavernas 8,#tdm15 Homem das Cavernas 7,#tdm15 Homem das Cavernas 2,,,,,,,,,,,,
Page 29,3,1,Piteco,Thuga,Bolota,Vartolo,#tdm15 Homem das Cavernas 8,#tdm15 Homem das Cavernas 7,#tdm15 Homem das Cavernas 2,#tdm15 Homem das Cavernas 3,#tdm15 Homem das Cavernas 4,#tdm15 Homem das Cavernas 5,,,,,,,,,
Page 30,3,1,Piteco,Thuga,Bolota,#tdm15 Homem das Cavernas 8,#tdm15 Homem das Cavernas 1,#tdm15 Homem das Cavernas 4,#tdm15 Homem das Cavernas 5,#tdm15 Dinossauro 1,,,,,,,,,,,
Page 31,3,1,Piteco,Thuga,Bolota,Vartolo,#tdm15 Homem das Cavernas 1,#tdm15 Homem das Cavernas 4,#tdm15 Homem das Cavernas 5,#tdm15 Homem das Cavernas 6,#tdm15 Dinossauro 1,,,,,,,,,,
Page 32,3,1,Piteco,Vartolo,Bolota,Thuga,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,,,,,
Page 37,4,1,Mônica,Cascão,,,,,,,,,,,,,,,,,
Page 38,4,1,Mônica,Sansão,,,,,,,,,,,,,,,,,
Page 39,4,1,Mônica,,,,,,,,,,,,,,,,,,
Page 40,4,1,Mônica,,,,,,,,,,,,,,,,,,
Page 41,4,1,Mônica,Sansão,Dona Luísa,Seu Souza,,,,,,,,,,,,,,,
Page 42,5,1,Cebolinha,Seu Cebola,,,,,,,,,,,,,,,,,
Page 43,6,1,Nico Demo,#tdm15 Criança 12,,,,,,,,,,,,,,,,,
Page 44,6,1,Nico Demo,#tdm15 Criança 11,#tdm15 Criança 13,,,,,,,,,,,,,,,,
Page 45,6,1,Nico Demo,#tdm15 Criança 12,#tdm15 Criança 14,,,,,,,,,,,,,,,,
Page 46,,,,,,,,,,,,,,,,,,,,,
Page 47,7,1,Jimmy,Bidu,,,,,,,,,,,,,,,,,
Page 48,7,1,Jimmy,Bidu,,,,,,,,,,,,,,,,,
Page 49,7,1,Jimmy,Bidu,Mônica,Magali,,,,,,,,,,,,,,,
Page 50,7,1,Jimmy,Bidu,Bugu,,,,,,,,,,,,,,,,
Page 51,7,1,Jimmy,Bidu,Franjinha,,,,,,,,,,,,,,,,
Page 52,7,1,Jimmy,Bidu,,,,,,,,,,,,,,,,,
Page 53,7,1,Jimmy,Bidu,Maurício de Souza,,,,,,,,,,,,,,,,
Page 54,,,,,,,,,,,,,,,,,,,,,
Page 55,8,1,Penadinho,#tdm15 Animal 1,#tdm15 Animal 2,#tdm15 Animal 3,#tdm15 Animal 4,#tdm15 Animal 5,,,,,,,,,,,,,
Page 56,9,1,Cebolinha,,,,,,,,,,,,,,,,,,
Page 57,9,1,Cebolinha,Mônica,Sansão,Bloguinho,,,,,,,,,,,,,,,
Page 58,10,1,Nimbus,,,,,,,,,,,,,,,,,,
Page 59,10,1,Nimbus,Cascão,,,,,,,,,,,,,,,,,
Page 60,10,1,Nimbus,Cascão,#tdm15 Animal 6,#tdm15 Animal 7,#tdm15 Animal 8,#tdm15 Animal 9,#tdm15 Animal 10,#tdm15 Animal 11,,,,,,,,,,,
Page 61,10,1,Nimbus,Cascão,,,,,,,,,,,,,,,,,
Page 62,10,1,Nimbus,Cascão,,,,,,,,,,,,,,,,,
Page 63,10,1,Nimbus,Cascão,#tdm15 Animal 12,#tdm15 Animal 13,#tdm15 Animal 14,#tdm15 Animal 15,#tdm15 Animal 16,#tdm15 Animal 17,#tdm15 Animal 18,#tdm15 Animal 19,,,,,,,,,
Page 64,10,1,Nimbus,Cascão,#tdm15 Figurante 1,#tdm15 Figurante 2,#tdm15 Figurante 3,#tdm15 Figurante 4,#tdm15 Animal 20,#tdm15 Figurante 5,#tdm15 Figurante 6,#tdm15 Figurante 7,#tdm15 Animal 21,#tdm15 Figurante 8,,,,,,,
Page 65,10,1,Nimbus,Cascão,Dona Lurdinha,,,,,,,,,,,,,,,,
Page 66,11,1,Humberto,Eco,,,,,,,,,,,,,,,,,
