Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23
Page 1,Capa,1,Chico Bento,#tdm_35 Criança 1,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 4,1,1,Chico Bento,#tdm_35 Animal 1,#tdm_35 Animal 2,#tdm_35 Animal 3,#tdm_35 Animal 4,#tdm_35 Animal 5,#tdm_35 Animal 6,#tdm_35 Animal 7,,,,,,,,,,,,,,,
Page 5,1,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 6,1,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 7,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 8,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 9,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 10,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 11,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 12,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 13,1,1,Chico Bento,Espírito do Milharal,#tdm_35 Animal 8,#tdm_35 Animal 9,#tdm_35 Sombra 1,#tdm_35 Sombra 2,#tdm_35 Sombra 3,,,,,,,,,,,,,,,,
Page 14,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 15,1,1,Chico Bento,Espírito do Milharal,#tdm_35 Pai 1,#tdm_35 Mãe 1,#tdm_35 Mãe 2,#tdm_35 Atendente 1,#tdm_35 Criança 2,#tdm_35 Criança 3,#tdm_35 Criança 4,#tdm_35 Sombra 4,#tdm_35 Sombra 5,#tdm_35 Sombra 6,#tdm_35 Sombra 7,#tdm_35 Sombra 8,#tdm_35 Sombra 9,#tdm_35 Sombra 10,#tdm_35 Sombra 11,#tdm_35 Sombra 12,#tdm_35 Sombra 13,#tdm_35 Sombra 14,#tdm_35 Sombra 15,#tdm_35 Sombra 16,#tdm_35 Sombra 17
Page 16,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 17,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 18,1,1,Chico Bento,Espírito do Milharal,#tdm_35 Atendente 2,#tdm_35 Criança 5,#tdm_35 Criança 6,#tdm_35 Criança 7,#tdm_35 Criança 8,,,,,,,,,,,,,,,,
Page 19,1,1,Chico Bento,Espírito do Milharal,#tdm_35 Criança 9,#tdm_35 Atendente 2,,,,,,,,,,,,,,,,,,,
Page 20,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 21,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 22,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
