Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6
Page 1,Capa,1,Mônica,Cebolinha,Cascão,,,
Page 2,,,,,,,,
Page 3,1,1,Mônica,Cebolinha,Cascão,,,
Page 4,1,1,Josefina,,,,,
Page 5,1,1,Josefina,,,,,
Page 6,1,1,Mônica,Cebolinha,Cascão,Sansão,Josefina,
Page 7,1,1,Josefina,,,,,
Page 8,1,1,Mônica,Cebolinha,Cascão,Sansão,Penadinho,Josefina
Page 9,1,1,Mônica,Cebolinha,Cascão,Zé Vampir,Josefina,
Page 10,1,1,Mônica,Cascão,Josefina,,,
Page 11,1,1,Mônica,Cebolinha,Cascão,Josefina,,
Page 12,1,1,Mônica,Cebolinha,Cascão,Josefina,,
Page 13,1,1,Mônica,Cebolinha,Cascão,Josefina,#tdm_39 Atendente 1,
Page 14,1,1,Sansão,Josefina,,,,
Page 15,1,1,Magali,Franjinha,Xaveco,Dudu,Jeremias,
Page 16,1,1,Mônica,Cebolinha,Cascão,Sansão,,
Page 17,1,1,Mônica,Cebolinha,Cascão,Sansão,,
Page 18,1,1,Mônica,Cebolinha,Cascão,Sansão,,
Page 19,1,1,Mônica,Cebolinha,Cascão,Sansão,#tdm_39 Sombra 1,
Page 20,1,1,Mônica,Cebolinha,Cascão,Sansão,#tdm_39 Sombra 2,
Page 21,1,1,Mônica,Cebolinha,Cascão,Sansão,,
Page 22,1,1,Mônica,Cebolinha,Cascão,Sansão,,
Page 23,1,1,Mônica,Cebolinha,Cascão,Sansão,,
Page 24,1,1,Mônica,Cebolinha,Cascão,Sansão,,
Page 25,,,,,,,,
Page 26,2,1,Penadinho,Frank,,,,
Page 27,2,1,Penadinho,Frank,,,,
Page 28,2,1,Zé Vampir,Frank,,,,
Page 29,2,1,Zé Vampir,Frank,,,,
Page 30.1,2,0.5,Zé Vampir,Frank,,,,
Page 30.2,2,0.5,Frank,Pixuquinha,,,,
Page 31,2,1,Frank,Pixuquinha,,,,
Page 32,2,1,Penadinho,Frank,Pixuquinha,,,
Page 33,,,,,,,,
Page 34,,,,,,,,
Page 35,,,,,,,,
Page 36,,,,,,,,
Page 37,,,,,,,,
Page 38,3,1,Mônica,Cebolinha,Cascão,Xaveco,Sansão,
Page 39,4,1,Piteco,Ogra,#tdm_39 Dinossauro 1,#tdm_39 Sombra 3,,
Page 40,4,1,Piteco,Ogra,,,,
Page 41,4,1,Piteco,#tdm_39 Animal 1,#tdm_39 Animal 2,#tdm_39 Animal 3,,
Page 42,4,1,Piteco,,,,,
Page 43,4,1,Piteco,,,,,
Page 44,4,1,Piteco,Thuga,,,,
Page 45,4,1,Piteco,Thuga,Ogra,,,
Page 46,,,,,,,,
Page 47,5,1,Cebolinha,Cascão,,,,
Page 48.1,5,0.5,Cebolinha,Cascão,,,,
Page 48.2,5,0.5,Mônica,Cebolinha,,,,
Page 49.1,5,0.5,Cebolinha,Cascão,,,,
Page 49.2,5,0.5,Mônica,Cebolinha,,,,
Page 50.1,5,0.5,Mônica,Cebolinha,,,,
Page 50.2,5,0.5,Cebolinha,Cascão,,,,
Page 51.1,5,0.5,Cebolinha,Cascão,,,,
Page 51.2,5,0.5,Mônica,Cebolinha,,,,
Page 52.1,5,0.5,Cebolinha,Cascão,,,,
Page 52.2,5,0.5,Mônica,Cebolinha,,,,
Page 53,5,1,Mônica,Cebolinha,Cascão,,,
Page 54,5,1,Mônica,Cebolinha,Cascão,Sansão,,
Page 55,,,,,,,,
Page 56,6,1,Lobi,#tdm_39 Rex,,,,
Page 57,7,1,Mônica,Cebolinha,Sansão,,,
Page 58,7,1,Mônica,Cebolinha,Marina,Sansão,,
Page 59,7,1,Cebolinha,Marina,,,,
Page 60.1,7,0.5,Mônica,Cebolinha,,,,
Page 60.2,7,0.5,Cebolinha,Marina,,,,
Page 61,7,1,Cebolinha,Marina,,,,
Page 62,7,1,Cebolinha,Marina,,,,
Page 63,7,1,Cebolinha,Marina,,,,
Page 64,7,1,Mônica,Cebolinha,,,,
Page 65,7,1,Mônica,Cebolinha,Marina,,,
Page 66,8,1,Raposão,,,,,
Page 67,,,,,,,,
Page 68,,,,,,,,
