Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13
Page 1,Capa,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 2,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,
Page 3,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,
Page 4,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,
Page 5,1,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,,
Page 6,1,Mônica,Bóreas,,,,,,,,,,,
Page 7,1,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,,
Page 8,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,
Page 9,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,
Page 10,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,
Page 11,1,Cebolinha,,,,,,,,,,,,
Page 12,1,Cascão,,,,,,,,,,,,
Page 13,1,Magali,,,,,,,,,,,,
Page 14,1,Mônica,,,,,,,,,,,,
Page 15,1,Mônica,Cebolinha,Magali,Yuka,,,,,,,,,
Page 16,1,Franjinha,Prof Falconi,Capitão Feio,Yuka,,,,,,,,,
Page 17,1,Capitão Feio,Yuka,,,,,,,,,,,
Page 18,1,Capitão Feio,Yuka,,,,,,,,,,,
Page 19,1,Capitão Feio,Yuka,,,,,,,,,,,
Page 20,1,Mônica,Cebolinha,Magali,Cascão,Sombra 1 - 1tmj_02,Sombra 2 - 1tmj_02,Sombra 3 - 1tmj_02,Figurante 1 - 1tmj_02,Figurante 2 - 1tmj_02,,,,
Page 21,2,Mônica,Cebolinha,Magali,Cascão,Vanda,Valéria,Elfo,Bárbaro,Anão 1,Anão 2,Pet 1,Pet 2,
Page 22,2,Mônica,Cebolinha,Magali,Cascão,Vanda,Valéria,Elfo,Bárbaro,Anão 1,Anão 2,Pet 1,Pet 2,
Page 23,2,Cebolinha,Valéria,,,,,,,,,,,
Page 24,2,Cebolinha,Vanda,,,,,,,,,,,
Page 25,2,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 26,2,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 27,2,Mônica,Cebolinha,Vanda,Valéria,,,,,,,,,
Page 28,2,Cebolinha,Cascão,Vanda,Valéria,,,,,,,,,
Page 29,2,Cebolinha,Cascão,Bárbaro,Viking,Orc,,,,,,,,
Page 30,2,Mônica,Cebolinha,Magali,Cascão,Vanda,Valéria,,,,,,,
Page 31,2,Mônica,Cebolinha,Cascão,Bárbaro,Viking,,,,,,,,
Page 32,2,Mônica,Magali,Cascão,Vanda,Viking,Orc,,,,,,,
Page 33,2,Mônica,Magali,Vanda,Valéria,Bárbaro,Orc,,,,,,,
Page 34,2,Mônica,Cebolinha,Magali,Cascão,Bárbaro,Viking,Orc,,,,,,
