Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9
Page 1,Capa,Mônica,Cebolinha,Kraker,,,,,,
Page 2,1,Mônica,Cebolinha,Zephyrus,,,,,,
Page 3,1,Mônica,Cebolinha,Magali,Cascão,Robóris,,,,
Page 4,1,Cascão,Robóris,,,,,,,
Page 5,1,Mônica,Cebolinha,Magali,Cascão,Zephyrus,Robóris,,,
Page 6,1,Mônica,Cebolinha,Magali,Cascão,Zephyrus,Robóris,,,
Page 7,1,Cebolinha,Cascão,,,,,,,
Page 8,1,Cebolinha,Cascão,Robô-Ofurô,,,,,,
Page 9,1,Mônica,Cebolinha,Magali,Robô-Roupa,,,,,
Page 10,1,Mônica,Cebolinha,Magali,Robô-Cozinheiro,,,,,
Page 11,1,Mônica,Cebolinha,Magali,,,,,,
Page 12,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 13,1,Mônica,Cebolinha,Magali,Cascão,Robóris,,,,
Page 14,1,Mônica,Cebolinha,Magali,Robóris,Motox 3D 228 1,Motox 3D 228 2,,,
Page 15,1,Cebolinha,Cascão,Robóris,Motox 3D 228 1,,,,,
Page 16,1,Mônica,Cebolinha,Motox 3D 228 1,Motox 3D 228 2,,,,,
Page 17,1,Capitão Feio,Yuka,,,,,,,
Page 18,1,Capitão Feio,Yuka,,,,,,,
Page 19,1,Franjinha,Prof Falconi,Capitão Feio,Yuka,,,,,
Page 20,1,Franjinha,Prof Falconi,,,,,,,
Page 21,1,Franjinha,Marina,Denise,Maria Cascuda,,,,,
Page 22,1,Marina,Denise,Maria Cascuda,,,,,,
Page 23,2,Mônica,Cebolinha,Magali,Cascão,Robóris,Roboy Geórgio,Figurante 1 - 1tmj_03,Figurante 2 - 1tmj_03,Figurante 3 - 1tmj_03
Page 24,2,Mônica,Cebolinha,Magali,Cascão,Robóris,Roboy Geórgio,Figurante 4 - 1tmj_03,Figurante 5 - 1tmj_03,Figurante 6 - 1tmj_03
Page 25,2,Cebolinha,Cascão,Bloguinho,Robóris,,,,,
Page 26,2,Mônica,Magali,Bloguinho,,,,,,
Page 27,2,Magali,Cascão,Bloguinho,Kraker,,,,,
Page 28,2,Mônica,Cebolinha,Magali,Cascão,Bloguinho,,,,
Page 29,2,Mônica,Cebolinha,Bloguinho,Robóris,,,,,
Page 30,2,Magali,Cascão,Bloguinho,,,,,,
Page 31,2,Mônica,Cebolinha,Magali,Bloguinho,,,,,
Page 32,2,Mônica,Cebolinha,Bloguinho,,,,,,
Page 33,2,Mônica,Bloguinho,,,,,,,
Page 34,2,Mônica,Bloguinho,Coelho de Ferro,,,,,,
Page 35,2,Cascão,Motox 3D 228 2,Alien Tomboniano 1,,,,,,
Page 36,2,Magali,Robô Fofo 1,,,,,,,
Page 37,2,Magali,Robô Fofo 1,,,,,,,
Page 38,2,Cebolinha,Professor Spada / Doutor Spam,,,,,,,
Page 39,2,Cebolinha,Professor Spada / Doutor Spam,,,,,,,
Page 40,2,Mônica,Bloguinho,,,,,,,
Page 41,2,Mônica,Bloguinho,Kraker,,,,,,
Page 42,2,Cascão,Bloguinho,Alien Tomboniano 1,Alien Tomboniano 2,,,,,
Page 43,2,Cascão,Bloguinho,Alien Tomboniano 1,Alien Tomboniano 2,Alien Tomboniano 3,Alien Tomboniano 4,Alien Tomboniano 5,,
Page 44,2,Magali,Robô Fofo 1,Robô Fofo 2Robô Fofo 3,,,,,,
Page 45,2,Magali,Cabeleira Negra,,,,,,,
Page 46,2,Franjinha,Prof Falconi,Capitão Feio,Cabeleira Negra,Yuka,,,,
Page 47,2,Magali,Cabeleira Negra,,,,,,,
Page 48,2,Cebolinha,Bloguinho,Professor Spada / Doutor Spam,,,,,,
Page 49,2,Cebolinha,Bloguinho,Professor Spada / Doutor Spam,,,,,,
Page 50,2,Cebolinha,Professor Spada / Doutor Spam,,,,,,,
Page 51,3,Mônica,Bloguinho,Kraker,Coelho de Ferro,,,,,
Page 52,3,Mônica,Bloguinho,Kraker,Coelho de Ferro,,,,,
Page 53,3,Cascão,Bloguinho,,,,,,,
Page 54,3,Magali,Cabeleira Negra,,,,,,,
Page 55,3,Magali,Cabeleira Negra,,,,,,,
Page 56,3,Magali,Astronauta,Cabeleira Negra,,,,,,
