Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11
Page 1,Capa,1,Seu Cebola,Cebolinha,Mônica,Cascão,,,,,,,
Page 2,,,,,,,,,,,,,
Page 3,,1,Seu Cebola,Cebolinha,,,,,,,,,
Page 4,1,1,Cebolinha,Seu Cebola,gibi 3 Atendente 1,gibi 3 Atendente 2,gibi 3 Criança 1,gibi 3 Criança 2,gibi 3 Criança 3,gibi 3 Criança 4,,,
Page 5,1,1,Cebolinha,Seu Cebola,gibi 3 Criança 5,gibi 3 Criança 6,gibi 3 Criança 7,gibi 3 Pai 1,,,,,
Page 6,1,1,Cebolinha,Seu Cebola,gibi 3 Criança 8,gibi 3 Criança 9,gibi 3 Criança 10,gibi 3 Mãe 1,gibi 3 Atendente 3,,,,
Page 7,1,1,Cebolinha,Seu Cebola,gibi 3 Criança 11,gibi 3 Criança 12,,,,,,,
Page 8,1,1,Cebolinha,Seu Cebola,gibi 3 Criança 12,,,,,,,,
Page 9,1,1,Cebolinha,Seu Cebola,gibi 3 Criança 12,,,,,,,,
Page 10,1,1,Cebolinha,Seu Cebola,gibi 3 Atendente 4,,,,,,,,
Page 11,1,1,Cebolinha,Seu Cebola,gibi 3 Criança 13,,,,,,,,
Page 12,1,1,Cebolinha,Seu Cebola,gibi 3 Criança 14,gibi 3 Criança 15,,,,,,,
Page 13,1,1,Cebolinha,Seu Cebola,gibi 3 Criança 14,gibi 3 Criança 15,,,,,,,
Page 14,1,1,Cebolinha,Seu Cebola,gibi 3 Criança 16,gibi 3 Criança 17,gibi 3 Criança 18,gibi 3 Criança 19,gibi 3 Criança 20,,,,
Page 15,1,1,Cebolinha,Seu Cebola,gibi 3 Criança 21,gibi 3 Criança 22,gibi 3 Criança 23,,,,,,
Page 16,1,1,Cebolinha,Seu Cebola,gibi 3 Mãe 2,Bebê,gibi 3 Pai 2,,,,,,
Page 17,1,1,Cebolinha,Seu Cebola,Bebê,gibi 3 Pai 2,,,,,,,
Page 18,1,1,Cebolinha,Seu Cebola,Jogador 1,Jogador 2,Jogador 3,Jogador 4,Jogador 5,Dona Cebola,gibi 3 Pai 2,Bebê,
Page 19,1,1,Cebolinha,Seu Cebola,,,,,,,,,
Page 20,1,1,Cebolinha,Seu Cebola,Pai Caramujo,Filho Caramujo,,,,,,,
Page 21,,,,,,,,,,,,,
Page 22,2,1,Mônica,Sansão,Magali,,,,,,,,
Page 23,2,1,Cebolinha,Magali,Cascão,Xaveco,Sorveteiro,,,,,,
Page 24,3,1,Cascão,gibi 3 Figurante 1,gibi 3 Figurante 2,gibi 3 Figurante 3,,,,,,,
Page 25,3,1,Cascão,gibi 3 Figurante 4,gibi 3 Figurante 5,gibi 3 Figurante 6,gibi 3 Figurante 7,,,,,,
Page 26,3,1,Cascão,Dona Lurdinha,Caixa do Supermercado,,,,,,,,
Page 27,,,,,,,,,,,,,
Page 28,4,1,Piteco,Vartolo,Dinossauro Rosa,,,,,,,,
Page 29,4,1,Piteco,Vartolo,Bolota,,,,,,,,
Page 30,4,1,Piteco,Vartolo,Bolota,,,,,,,,
Page 31,4,1,Piteco,Vartolo,Homem Tigre 1,,,,,,,,
Page 32,4,1,Homem Tigre 1,Piteco,Vartolo,Bolota,Homem das Cavernas 1,,,,,,
Page 33,4,1,Piteco,Vartolo,Bolota,Homem Tigre 1,Homem Tigre 2,Homem Tigre 3,,,,,
Page 34,4,1,Piteco,Vartolo,Bolota,Homem das Cavernas 2,Homem das Cavernas 3,Homem das Cavernas 4,Homem das Cavernas 5,Homem das Cavernas 6,,,
Page 35,4,1,Homem Tigre 1,Homem Tigre 2,Homem Tigre 3,Homem Tigre 4,Homem Tigre 5,Piteco,Bolota,Vartolo,Homem das Cavernas 1,Homem das Cavernas 2,Homem das Cavernas 3
Page 36,4,1,Zé Vampir,gibi 3 Figurante 8,,,,,,,,,
Page 37,,,,,,,,,,,,,
Page 38,,,,,,,,,,,,,
Page 39,,,,,,,,,,,,,
Page 40,5,1,Penadinho,gibi 3 Figurante 9,gibi 3 Figurante 10,gibi 3 Figurante 11,,,,,,,
Page 41,5,1,Penadinho,,,,,,,,,,
Page 42,5,1,Penadinho,Frank,,,,,,,,,
Page 43,5,1,Penadinho,Frank,Zé Vampir,Muminho,Zé Caveirinha,,,,,,
Page 44,5,1,Penadinho,Frank,Zé Vampir,Muminho,Zé Caveirinha,Lobi,Dona Morte,Alminha,Fantasma 1,Fantasma 2,
Page 45,,,,,,,,,,,,,
Page 46,6,1,Mônica,Cebolinha,Cascão,Sansão,,,,,,,
Page 47,6,1,Mônica,Cebolinha,Cascão,Sansão,,,,,,,
Page 48,7,1,Papa-Capim,Caiapopó,,,,,,,,,
Page 49,7,1,Papa-Capim,Caiapopó,Onça,,,,,,,,
Page 50,7,1,Papa-Capim,Caiapopó,Onça,,,,,,,,
Page 51,7,1,Papa-Capim,Caiapopó,Onça,,,,,,,,
Page 52,8,1,Zé Lelé,,,,,,,,,,
Page 53,8,1,Zé Lelé,,,,,,,,,,
Page 54,9,1,Cebolinha,Sansão,Mônica,,,,,,,,
Page 55,9,1,Cebolinha,Sansão,Mônica,,,,,,,,
Page 56,,,,,,,,,,,,,
Page 57,10,1,Humberto,,,,,,,,,,
Page 58,10,1,Humberto,,,,,,,,,,
Page 59,10,1,Humberto,,,,,,,,,,
Page 60,10,1,Humberto,,,,,,,,,,
Page 61,10,1,Humberto,Tarugo,,,,,,,,,
Page 62,10,1,Humberto,Salva-vidas,,,,,,,,,
Page 63,10,1,Humberto,,,,,,,,,,
Page 64,10,1,Humberto,Tritão 1,,,,,,,,,
Page 65,10,1,Humberto,gibi 3 Pai 3,gibi 3 Criança 24,Tritão 1,Tritão 2,Tritão 3,,,,,
Page 66,11,1,Penadinho,Alminha,Zé Vampir,,,,,,,,
