Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23,Character 24,Character 25,Character 26
Page 1,Capa,1,Cascão,Cebolinha,Mônica,Duende,#tdm04 Múmia,,,,,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,1,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,
Page 4,1,1,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,
Page 5,1,1,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,
Page 6,1,1,Mônica,Duende,#tdm04 Mãe 1,#tdm04 Pai 1,Dona Luísa,#tdm04 Criança 1,#tdm04 Criança 2,#tdm04 Criança 3,#tdm04 Criança 4,#tdm04 Criança 5,#tdm04 Criança 6,#tdm04 Criança 7,#tdm04 Criança 8,#tdm04 Criança 9,#tdm04 Criança 10,#tdm04 Criança 11,#tdm04 Sombra 1,#tdm04 Sombra 2,#tdm04 Sombra 3,#tdm04 Sombra 4,#tdm04 Sombra 5,#tdm04 Sombra 6,#tdm04 Sombra 7,#tdm04 Sombra 8,#tdm04 Sombra 9,#tdm04 Sombra 10
Page 7,1,1,Mônica,Duende,Dona Luísa,,,,,,,,,,,,,,,,,,,,,,,
Page 8,1,1,Mônica,Duende,Dona Luísa,,,,,,,,,,,,,,,,,,,,,,,
Page 9,1,1,Mônica,Duende,Dona Luísa,#tdm04 Criança 12,#tdm04 Criança 13,,,,,,,,,,,,,,,,,,,,,
Page 10,1,1,Duende,#tdm04 Atendente 1,#tdm04 Sombra 11,#tdm04 Mãe 2,#tdm04 Mãe 3,#tdm04 Pai 2,#tdm04 Pai 3,#tdm04 Criança 14,#tdm04 Criança 15,#tdm04 Criança 16,#tdm04 Criança 17,#tdm04 Criança 18,#tdm04 Criança 19,#tdm04 Criança 20,#tdm04 Criança 21,#tdm04 Criança 22,#tdm04 Criança 23,,,,,,,,,
Page 11,1,1,Duende,#tdm04 Atendente 1,Mônica,Dona Luísa,#tdm04 Pai 4,#tdm04 Criança 24,#tdm04 Atendente 2,,,,,,,,,,,,,,,,,,,
Page 12,1,1,Mônica,Dona Luísa,Duende,,,,,,,,,,,,,,,,,,,,,,,
Page 13,1,1,Duende,#tdm04 Atendente 3,#tdm04 Atendente 4,#tdm04 Criança 25,#tdm04 Criança 26,,,,,,,,,,,,,,,,,,,,,
Page 14,1,1,Duende,Mônica,,,,,,,,,,,,,,,,,,,,,,,,
Page 15,1,1,Duende,Mônica,#tdm04 Criança 27,#tdm04 Criança 28,,,,,,,,,,,,,,,,,,,,,,
Page 16,1,1,Duende,Mônica,#tdm04 Criança 29,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,
Page 17,1,1,Duende,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 18,1,1,Duende,#tdm04 Criança 30,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 19,1,1,Duende,Mônica,#tdm04 Atendente 5,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,
Page 20,1,1,Duende,Mônica,#tdm04 Criança 31,#tdm04 Criança 32,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,
Page 21,1,1,Duende,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 22,1,1,Duende,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 23,1,1,Duende,#tdm04 Duende 2,#tdm04 Duende 3,#tdm04 Duende 4,,,,,,,,,,,,,,,,,,,,,,
Page 24,1,1,Duende,#tdm04 Duende 2,#tdm04 Duende 3,#tdm04 Duende 4,#tdm04 Duende 5,Papai Noel,,,,,,,,,,,,,,,,,,,,
