Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17
Page 1,Capa,1,Homem Invisível,Mulher Invisível,Cranicóla,Zé Caveirinha,Frank,Lobi,Zé Vampir,Muminho,Penadinho,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,
Page 3,,1,Penadinho,,,,,,,,,,,,,,,,
Page 4,1,1,gibi 5 Criança 1,gibi 5 Criança 2,gibi 5 Criança 3,gibi 5 Criança 4,gibi 5 Criança 5,gibi 5 Criança 6,gibi 5 Criança 7,gibi 5 Criança 8,,,,,,,,,
Page 5,1,1,gibi 5 Criança 9,gibi 5 Criança 10,gibi 5 Criança 11,gibi 5 Criança 12,gibi 5 Criança 13,gibi 5 Criança 14,gibi 5 Criança 15,gibi 5 Criança 16,gibi 5 Criança 17,gibi 5 Criança 18,gibi 5 Criança 19,gibi 5 Criança 20,gibi 5 Criança 21,gibi 5 Criança 22,gibi 5 Criança 23,gibi 5 Criança 24,gibi 5 Criança 25
Page 6,1,1,gibi 5 Criança 26,gibi 5 Criança 27,gibi 5 Criança 28,gibi 5 Criança 29,gibi 5 Criança 30,,,,,,,,,,,,
Page 7,1,1,gibi 5 Criança 31,gibi 5 Criança 32,gibi 5 Criança 33,gibi 5 Criança 34,gibi 5 Criança 35,gibi 5 Criança 36,gibi 5 Figurante 1,,,,,,,,,,
Page 8,1,1,gibi 5 Criança 37,gibi 5 Criança 38,gibi 5 Criança 39,gibi 5 Criança 40,gibi 5 Criança 41,gibi 5 Criança 42,gibi 5 Criança 43,gibi 5 Criança 44,gibi 5 Criança 45,gibi 5 Criança 46,,,,,,,
Page 9,1,1,Magali,gibi 5 Atendente 1,gibi 5 Atendente 2,gibi 5 Sombra 1,gibi 5 Sombra 2,gibi 5 Criança 47,gibi 5 Criança 48,gibi 5 Criança 49,gibi 5 Criança 50,gibi 5 Criança 51,gibi 5 Criança 52,gibi 5 Criança 53,gibi 5 Criança 54,,,,
Page 10,1,1,Penadinho,Cranicóla,,,,,,,,,,,,,,,
Page 11,1,1,Funcionário Parque,Penadinho,,,,,,,,,,,,,,,
Page 12,1,1,Zé Vampir,Muminho,Frank,Lobi,Cranicóla,Penadinho,Zé Caveirinha,Camisa 1,Camisa 2,Camisa 3,Vestido,Lixo,,,,,
Page 13,1,1,Zé Vampir,Muminho,Frank,Lobi,Cranicóla,Penadinho,Zé Caveirinha,Vestido,Alminha,Toalha,Lixo,Fantasminha,,,,,
Page 14,1,1,Zé Vampir,Frank,Cranicóla,Penadinho,Vestido,Alminha,Lixo,Fantasminha,,,,,,,,,
Page 15,1,1,Zé Vampir,Lobi,Cranicóla,Penadinho,Vestido,Alminha,Toalha,Camisa 1,Camisa 2,Camisa 3,Fantasminha,,,,,,
Page 16,1,1,Frank,Lobi,Cranicóla,Zé Caveirinha,Penadinho,Vestido,Alminha,Toalha,Lixo,Camisa 1,Camisa 2,Camisa 3,Fantasminha,,,,
Page 17,1,1,Guarda,Zé Caveirinha,Penadinho,Vestido,Toalha,Lixo,Camisa 1,Camisa 2,Camisa 3,,,,,,,,
Page 18,2,1,Cascão,,,,,,,,,,,,,,,,
Page 19,2,1,Cascão,Dona Lurdinha,,,,,,,,,,,,,,,
Page 20,3,1,Mônica,Marina,Bidu,,,,,,,,,,,,,,
Page 21,3,1,Mônica,Marina,Bidu,,,,,,,,,,,,,,
Page 22,3,1,Mônica,Marina,Floquinho,,,,,,,,,,,,,,
Page 23,3,1,Mônica,Marina,Monicão,Labrador,Cachorro Branco,Pitbull,,,,,,,,,,,
Page 24,3,1,Mônica,Marina,Cebolinha,Sansão,,,,,,,,,,,,,
Page 25,,,,,,,,,,,,,,,,,,,
Page 26,,,,,,,,,,,,,,,,,,,
Page 27,4,1,Dona Cebola,Cebolinha,Anjinho,Anjinho 2,Anjinho 3,Anjinho 4,Anjinho 5,,,,,,,,,,
Page 28,5,1,Chico Bento,Galo,,,,,,,,,,,,,,,
Page 29,5,1,Chico Bento,Galo,,,,,,,,,,,,,,,
Page 30,6,1,Maurício de Souza,Desenhista 1,Desenhista 2,Desenhista 3,Desenhista 4,gibi 5 Sombra 3,gibi 5 Sombra 4,gibi 5 Sombra 5,gibi 5 Sombra 6,gibi 5 Sombra 7,gibi 5 Sombra 8,gibi 5 Sombra 9,gibi 5 Sombra 10,,,,
Page 31,6,1,Maurício de Souza,Desenhista 1,Desenhista 2,Desenhista 3,Desenhista 4,Tina,gibi 5 Sombra 11,gibi 5 Sombra 12,gibi 5 Sombra 13,gibi 5 Sombra 14,gibi 5 Sombra 15,gibi 5 Sombra 16,gibi 5 Sombra 17,gibi 5 Sombra 18,gibi 5 Sombra 19,gibi 5 Sombra 20,
Page 32,6,1,Rita Najura,Jotalhão,Formiga,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,
Page 36,7,1,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 37,7,1,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 38,7,1,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 39,7,1,Lobi,Penadinho,Frank,Doutor,,,,,,,,,,,,,
Page 40,7,1,Lobi,Penadinho,Frank,Doutor,,,,,,,,,,,,,
Page 41,7,1,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 42,7,1,Lobi,Penadinho,Frank,,,,,,,,,,,,,,
Page 43,,,,,,,,,,,,,,,,,,,
Page 44,8,1,Cebolinha,Floquinho,,,,,,,,,,,,,,,
Page 45,8,1,Cebolinha,Floquinho,,,,,,,,,,,,,,,
Page 46,9,1,Astronauta,,,,,,,,,,,,,,,,
Page 47,9,1,Astronauta,,,,,,,,,,,,,,,,
Page 48,9,1,Astronauta,,,,,,,,,,,,,,,,
Page 49,9,1,,,,,,,,,,,,,,,,,
Page 50,9,1,Astronauta,,,,,,,,,,,,,,,,
Page 51,9,1,Astronauta,,,,,,,,,,,,,,,,
Page 52,9,1,Astronauta,Astronauta do Futuro,,,,,,,,,,,,,,,
Page 53,9,1,Astronauta,Astronauta do Futuro,,,,,,,,,,,,,,,
Page 54,9,1,Astronauta,Natalina,Astrogildo,,,,,,,,,,,,,,
Page 55,,,,,,,,,,,,,,,,,,,
Page 56,10,1,Zé Caveirinha,Cachorro,,,,,,,,,,,,,,,
Page 57,11,1,Cebolinha,Sansão,,,,,,,,,,,,,,,
Page 58,11,1,Cebolinha,Sansão,Monicão,,,,,,,,,,,,,,
Page 59,11,1,Cebolinha,Sansão,Monicão,,,,,,,,,,,,,,
Page 60,11,1,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 61,11,1,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 62,11,1,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 63,11,1,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 64,11,1,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 65,11,1,Cebolinha,Sansão,Monicão,Mônica,Cascão,,,,,,,,,,,,
Page 66,12,1,Penadinho,Alminha,,,,,,,,,,,,,,,
