Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14
Page 1,Capa,1,Mônica,Cebolinha,Cascão,Magali,gibi 8 Criança 1,gibi 8 Criança 2,gibi 8 Criança 3,gibi 8 Criança 4,gibi 8 Criança 5,gibi 8 Criança 6,gibi 8 Criança 7,gibi 8 Criança 8,gibi 8 Criança 9,Planeta Terra
Page 2,,,,,,,,,,,,,,,,
Page 3,,1,Cebolinha,Mônica,Magali,Cascão,Planeta Terra,,,,,,,,,
Page 4,1,1,Magali,Mônica,Sansão,Cebolinha,,,,,,,,,,
Page 5,1,1,Magali,Mônica,Sansão,Cebolinha,Cascão,,,,,,,,,
Page 6,1,1,Magali,Mônica,Sansão,Cebolinha,Cascão,gibi 8 Sombra 1,gibi 8 Atendente 1,gibi 8 Atendente 2,gibi 8 Criança 10,gibi 8 Criança 11,,,,
Page 7,1,1,Mônica,Sansão,Planeta Terra,gibi 8 Sombra 2,gibi 8 Criança 12,gibi 8 Criança 13,gibi 8 Criança 14,gibi 8 Criança 15,gibi 8 Figurante 1,,,,,
Page 8,1,1,gibi 8 Criança 16,gibi 8 Mãe 1,Mônica,Sansão,Cebolinha,Magali,Magali,Planeta Terra,,,,,,
Page 9,1,1,Mônica,Sansão,Cebolinha,Magali,Magali,Planeta Terra,,,,,,,,
Page 10,1,1,Mônica,Planeta Terra,,,,,,,,,,,,
Page 11,1,1,Urso Polar,gibi 8 Figurante 2,gibi 8 Figurante 3,gibi 8 Figurante 4,gibi 8 Figurante 5,gibi 8 Figurante 6,,,,,,,,
Page 12,1,1,Mônica,Sansão,Cebolinha,Magali,Magali,Planeta Terra,,,,,,,,
Page 13,1,1,Planeta Terra,Dona Lurdinha,Cascão,Dona Cebola,Seu Cebola,Cebolinha,Mônica,Dona Lurdinha,Seu Antenor,Magali,Padeiro,,,
Page 14,1,1,gibi 8 Criança 17,Mônica,Sansão,Cebolinha,Magali,Magali,Planeta Terra,,,,,,,
Page 15,1,1,Mônica,Cebolinha,Planeta Terra,Sansão,Magali,Cascão,Roteirista 1,Roteirista 2,Roteirista 3,Roteirista 4,,,,
Page 16,1,1,Mônica,Cebolinha,Magali,Cascão,Planeta Terra,gibi 8 Criança 18,gibi 8 Criança 19,gibi 8 Criança 20,gibi 8 Criança 21,gibi 8 Sombra 3,gibi 8 Sombra 4,gibi 8 Sombra 5,gibi 8 Sombra 6,
Page 17,1,1,Planeta Terra,Lua,Mônica,Cebolinha,Cascão,Magali,,,,,,,,
Page 18,2,1,Sansão,Mônica,Cebolinha,,,,,,,,,,,
Page 19,2,1,Sansão,Mônica,Cebolinha,,,,,,,,,,,
Page 20,,,,,,,,,,,,,,,,
Page 21,3,1,Anjinho,Cebolinha,,,,,,,,,,,,
