Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16
Page 1,Capa,1,Cebolinha,Cascão,Mônica,Cebolinha do Futuro,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,
Page 3,,1,Cebolinha,Cascão,Mônica,Cebolinha do Futuro,,,,,,,,,,,,
Page 4,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,
Page 5,1,1,Cascão,Cebolinha,#tdm09 Pai 1,#tdm09 Criança 1,#tdm09 Criança 2,#tdm09 Criança 3,#tdm09 Criança 4,#tdm09 Figurante 1,Cebolinha do Futuro,,,,,,,
Page 6,1,1,Cascão,Cebolinha do Futuro,#tdm09 Criança 5,,,,,,,,,,,,,
Page 7,1,1,Cascão,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,
Page 8,1,1,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,
Page 9,1,1,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,
Page 10,1,1,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,
Page 11,1,1,Cebolinha,Cebolinha do Futuro,Filho do Cebolinha do Futuro,Franjinha do Futuro,#tdm09 Criança 6,#tdm09 Criança 7,#tdm09 Criança 8,#tdm09 Criança 9,,,,,,,,
Page 12,1,1,Cascão,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,
Page 13,1,1,Cascão,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,
Page 14,1,1,Cascão,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,
Page 15,1,1,Cascão,Cebolinha,Cebolinha do Futuro,Seu Antenor,,,,,,,,,,,,
Page 16,1,1,#tdm09 Criança 10,#tdm09 Criança 11,Cebolinha,Cebolinha do Futuro,Muminho,Zé Vampir,,,,,,,,,,
Page 17,1,1,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,
Page 18,1,1,Cebolinha,Cebolinha do Futuro,Mônica,Sansão,,,,,,,,,,,,
Page 19,1,1,Cebolinha,Cebolinha do Futuro,Mônica,Sansão,,,,,,,,,,,,
Page 20,1,1,Cebolinha,Cebolinha do Futuro,Mônica,Sansão,,,,,,,,,,,,
Page 21,1,1,Cebolinha,Cebolinha do Futuro,Mônica,#tdm09 Mãe 1,#tdm09 Criança 12,#tdm09 Criança 13,,,,,,,,,,
Page 22,1,1,Cebolinha,Cebolinha do Futuro,Mônica,,,,,,,,,,,,,
Page 23,1,1,Cebolinha,Cebolinha do Futuro,Mônica,Mônica do Futuro,Filho do Cebolinha do Futuro,,,,,,,,,,,
Page 24,,,,,,,,,,,,,,,,,,
Page 25,2,1,Cebolinha,,,,,,,,,,,,,,,
Page 26,2,1,Cebolinha,Louco,,,,,,,,,,,,,,
Page 27,2,1,Cebolinha,Louco,,,,,,,,,,,,,,
Page 28,2,1,Cebolinha,Louco,,,,,,,,,,,,,,
Page 29,2,1,Cebolinha,Louco,,,,,,,,,,,,,,
Page 30,2,1,Cebolinha,Louco,,,,,,,,,,,,,,
Page 31,2,1,Cebolinha,Louco,,,,,,,,,,,,,,
Page 32,2,1,Cebolinha,Louco,,,,,,,,,,,,,,
Page 33,2,1,Cebolinha,Louco,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,,
Page 37,,,,,,,,,,,,,,,,,,
Page 38,3,1,Mônica,Cebolinha,,,,,,,,,,,,,,
Page 39,3,1,Mônica,Cebolinha,Magali,Sansão,#tdm09 Animal 1,#tdm09 Animal 2,#tdm09 Animal 3,#tdm09 Animal 4,#tdm09 Animal 5,,,,,,,
Page 40,,1,Piteco,Maurício de Souza,,,,,,,,,,,,,,
Page 41,4,1,Piteco,Thuga,Bolota,#tdm09 Dinossauro 1,#tdm09 Animal 6,,,,,,,,,,,
Page 42,4,1,Piteco,#tdm09 Dinossauro 1,#tdm09 Animal 6,,,,,,,,,,,,,
Page 43,4,1,Piteco,#tdm09 Dinossauro 2,#tdm09 Dinossauro 3, Tchako 1,,,,,,,,,,,,
Page 44,4,1,Piteco, Tchako 1, Tchako 2, Tchako 3, Tchako 4,,,,,,,,,,,
Page 45,4,1,Piteco, Tchako 1, Tchako 2, Gigante,,,,,,,,,,,,
Page 46,4,1,Piteco, Gigante, Tchako 1, Tchako 2, Tchako 3,,,,,,,,,,,
Page 47,4,1,Piteco, Gigante, Tchako 1, Tchako 2, Tchako 3,,,,,,,,,,,
Page 48,4,1,Piteco, Gigante, Tchako 1, Tchako 2, Tchako 3, Tchako 4, Tchako 5, Tchako 6, Tchako 7,#tdm09 Dinossauro 1,,,,,,
Page 49,4,1,Piteco, Gigante, Tchako 1, Tchako 2, Tchako 3, Tchako 4, Tchako 5, Tchako 6, Tchako 7, Tchako 8,#tdm09 Dinossauro 1, Alienígena,#tdm09 Dinossauro 4,#tdm09 Figurante 2,#tdm09 Figurante 3,#tdm09 Figurante 4
Page 50,4,1,Piteco, Índio,Maurício de Souza,Astronauta,,,,,,,,,,,,
Page 51,,,,,,,,,,,,,,,,,,
Page 52,5,1,Mônica,Cebolinha,,,,,,,,,,,,,,
Page 53,5,1,Mônica,Cebolinha,,,,,,,,,,,,,,
Page 54,6,1,Penadinho,Cranicóla,,,,,,,,,,,,,,
Page 55,,,,,,,,,,,,,,,,,,
Page 56,7,1,Cascão,Anjinho,,,,,,,,,,,,,,
Page 57,8,1,Mônica,,,,,,,,,,,,,,,
Page 58,8,1,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,
Page 59,8,1,Mônica,,,,,,,,,,,,,,,
Page 60,8,1,Mônica,Seu Souza,Dona Luísa,Monicão,Sansão,,,,,,,,,,,
Page 61,8,1,Mônica,Cascão,Cebolinha,Sansão,Carminha Frufru,,,,,,,,,,,
Page 62,8,1,Mônica,Magali,Carminha Frufru,,,,,,,,,,,,,
