Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18
Page 1,Capa,Dona Cebola,Mônica,Magali,Cebolinha,Cascão,Magali,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,
Page 3,,Cascão,Cebolinha,,,,,,,,,,,,,,,,
Page 4,1,Dona Cebola,Mônica,Magali,Cebolinha,Cascão,Sombra 1 - gibi 11,Sombra 2 - gibi 11,Sombra 3 - gibi 11,Sombra 4 - gibi 11,,,,,,,,,
Page 5,1,Mônica,Magali,Cascão,Cebolinha,Sansão,,,,,,,,,,,,,
Page 6,1,Mônica,Magali,Cascão,Cebolinha,Sansão,,,,,,,,,,,,,
Page 7,1,Mônica,Magali,Cascão,Cebolinha,Sansão,Criança 1 - gibi 11,Atendente 1 - gibi 11,Atendente 2 - gibi 11,,,,,,,,,,
Page 8,1,Mônica,Magali,Cascão,Cebolinha,Sansão,,,,,,,,,,,,,
Page 9,1,Mônica,Magali,Cascão,Cebolinha,Sansão,,,,,,,,,,,,,
Page 10,1,Mônica,Cascão,Cebolinha,Sansão,,,,,,,,,,,,,,
Page 11,1,Mônica,Magali,Cascão,Cebolinha,Sansão,,,,,,,,,,,,,
Page 12,1,Mônica,Magali,Cascão,Cebolinha,Sansão,,,,,,,,,,,,,
Page 13,1,Mônica,Magali,Cascão,Cebolinha,,,,,,,,,,,,,,
Page 14,1,Dona Cebola,Magali,Cebolinha,Mônica,Cascão,Figurante 1 - gibi 11,Sombra 5 - gibi 11,Sombra 6 - gibi 11,,,,,,,,,,
Page 15,1,Cascão,Mônica,Cebolinha,Criança 2 - gibi 11,Criança 3 - gibi 11,Criança 4 - gibi 11,Criança 5 - gibi 11,Criança 6 - gibi 11,Criança 7 - gibi 11,Criança 8 - gibi 11,Sombra 7 - gibi 11,Sombra 8 - gibi 11,Sombra 9 - gibi 11,Sombra 10 - gibi 11,Sombra 11 - gibi 11,Sombra 12 - gibi 11,Sombra 13 - gibi 11,Sombra 14 - gibi 11
Page 16,1,Cascão,Cebolinha,Mônica,Dona Cebola,,,,,,,,,,,,,,
Page 17,1,Cascão,Mônica,Magali,Cebolinha,Dona Cebola,Seu Cebola,,,,,,,,,,,,
Page 18,1,Cascão,Mônica,Magali,Cebolinha,Dona Cebola,Seu Cebola,,,,,,,,,,,,
Page 19,1,Mônica,Cebolinha,Dona Cebola,Seu Cebola,Motorista do Guincho,,,,,,,,,,,,,
Page 20,1,Cascão,Mônica,Magali,Cebolinha,Dona Luísa,Seu Souza,Seu Antenor,,,,,,,,,,,
Page 21,2,Piteco,Thuga,Dente de Sabre,,,,,,,,,,,,,,,
Page 22,3,Monicão,Mônica,,,,,,,,,,,,,,,,
Page 23,3,Monicão,Sansão,Mônica,,,,,,,,,,,,,,,
Page 24,,,,,,,,,,,,,,,,,,,
Page 25,4,Frank,Sherlock Holmes,,,,,,,,,,,,,,,,
Page 26,4,Frank,,,,,,,,,,,,,,,,,
Page 27,4,Frank,Zé Caveirinha,Lobi,,,,,,,,,,,,,,,
Page 28,4,Frank,Muminho,Penadinho,Alminha,Zé Cremadinho,,,,,,,,,,,,,
Page 29,4,Frank,Muminho,Cranicóla,Mulher do Cranicóla,Lobi,,,,,,,,,,,,,
