Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20
Page 1,Capa,1,Cascão,Cebolinha,Maria Cascuda,Mônica,Magali,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,
Page 3,1,1,Maria Cascuda,Magali,Denise,Mônica,,,,,,,,,,,,,,,,
Page 4,1,1,Mônica,Denise,Maria Cascuda,,,,,,,,,,,,,,,,,
Page 5,1,1,Mônica,Maria Cascuda,Denise,Magali,,,,,,,,,,,,,,,,
Page 6,1,1,Mônica,Maria Cascuda,Denise,Magali,Cebolinha,Cascão,gibi 12 Sombra 1,gibi 12 Sombra 2,gibi 12 Sombra 3,gibi 12 Sombra 4,gibi 12 Sombra 5,gibi 12 Sombra 6,gibi 12 Sombra 7,gibi 12 Sombra 8,gibi 12 Sombra 9,gibi 12 Sombra 10,,,,
Page 7,1,1,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,
Page 8,1,1,Cebolinha,Cascão,Xaveco,gibi 12 Criança 1,gibi 12 Criança 2,gibi 12 Criança 3,gibi 12 Criança 4,gibi 12 Criança 5,gibi 12 Criança 6,gibi 12 Criança 7,,,,,,,,,,
Page 9,1,1,Cebolinha,Xaveco,Mônica,Denise,Maria Cascuda,Magali,Fabinho Boa Pinta,,,,,,,,,,,,,
Page 10,1,1,Mônica,Denise,Maria Cascuda,Magali,Fabinho Boa Pinta,Cebolinha,Cascão,Xaveco,gibi 12 Criança 8,gibi 12 Sombra 11,gibi 12 Sombra 12,,,,,,,,,
Page 11,1,1,Mônica,Denise,Maria Cascuda,Magali,Fabinho Boa Pinta,Cebolinha,Cascão,,,,,,,,,,,,,
Page 12,1,1,Mônica,Denise,Maria Cascuda,Magali,Ricardinho,Cebolinha,Cascão,Xaveco,,,,,,,,,,,,
Page 13,1,1,Mônica,Denise,Maria Cascuda,Magali,Ricardinho,,,,,,,,,,,,,,,
Page 14,1,1,Mônica,Denise,Maria Cascuda,Magali,Bernardinho,Cebolinha,Cascão,Xaveco,gibi 12 Criança 9,gibi 12 Sombra 13,gibi 12 Sombra 14,gibi 12 Sombra 15,gibi 12 Sombra 16,gibi 12 Sombra 17,gibi 12 Sombra 18,gibi 12 Sombra 19,gibi 12 Sombra 20,gibi 12 Sombra 21,gibi 12 Sombra 22,gibi 12 Sombra 23
Page 15,1,1,Mônica,Denise,Maria Cascuda,Bernardinho,Luca,,,,,,,,,,,,,,,
Page 16,1,1,Mônica,Denise,Maria Cascuda,Magali,Luca,Cebolinha,Cascão,Xaveco,,,,,,,,,,,,
Page 17,1,1,Mônica,Denise,Maria Cascuda,Magali,Cebolinha,Cascão,Xaveco,,,,,,,,,,,,,
Page 18,1,1,Mônica,Denise,Maria Cascuda,Magali,Cebolinha,Cascão,Xaveco,Quinzinho,gibi 12 Criança 10,,,,,,,,,,,
Page 19,1,1,Mônica,Denise,Maria Cascuda,Cebolinha,Cascão,Xaveco,Bernardinho,Fabinho Boa Pinta,Ricardinho,Luca,Sansão,,,,,,,,,
Page 20,2,1,Bolota,Thuga,,,,,,,,,,,,,,,,,,
Page 21,2,1,Thuga,Bolota,Piteco,,,,,,,,,,,,,,,,,
Page 22,,,,,,,,,,,,,,,,,,,,,,
Page 23,,,,,,,,,,,,,,,,,,,,,,
Page 24,3,1,Dona Luísa,Mônica,Sansão,Cebolinha,Dona Cebola,Cascão,Dona Lurdinha,Magali,Dona Lili,,,,,,,,,,,
Page 25,3,1,Magali,Dona Lili,,,,,,,,,,,,,,,,,,
Page 26,4,1,Maria Cebolinha,Dudu,,,,,,,,,,,,,,,,,,
Page 27,4,1,Maria Cebolinha,Dudu,Cascão,Cebolinha,Titi,Manezinho,Jeremias,,,,,,,,,,,,,
Page 28,4,1,Cebolinha,Cascão,Zé Luís,Titi,Manezinho,Jeremias,Seu Cebola,Dona Cebola,gibi 12 Figurante 1,gibi 12 Sombra 24,gibi 12 Sombra 25,,,,,,,,,
Page 29,4,1,Zé Luís,Seu Cebola,Maria Cebolinha,,,,,,,,,,,,,,,,,
Page 30,5,1,Sansão,Mônica,Cebolinha,,,,,,,,,,,,,,,,,
Page 31,5,1,Sansão,Mônica,Cebolinha,,,,,,,,,,,,,,,,,
Page 32,6,1,Cascão,Pássaro 1,Pássaro 2,Pássaro 3,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,
Page 36,7,1,Chico Bento,Zé Lelé,Cavalo,,,,,,,,,,,,,,,,,
Page 37,7,1,Chico Bento,Zé Lelé,Cavalo,Bruxo,,,,,,,,,,,,,,,,
Page 38,7,1,Chico Bento,Zé Lelé,Cavalo,Bruxo,,,,,,,,,,,,,,,,
Page 39,7,1,Chico Bento,Zé Lelé,Cavalo,,,,,,,,,,,,,,,,,
Page 40,7,1,Chico Bento,Zé Lelé,Cavalo,Duende,,,,,,,,,,,,,,,,
Page 41,,,,,,,,,,,,,,,,,,,,,,
Page 42,8,1,Bidu,Magali,,,,,,,,,,,,,,,,,,
Page 43,8,1,Magali,Bidu,Mingau,,,,,,,,,,,,,,,,,
Page 44,8,1,Magali,Mingau,Chovinista,Peixe 1,Peixe 2,Peixe 3,Peixe 4,Peixe 5,Peixe 6,Peixe 7,Peixe 8,Peixe 9,,,,,,,,
Page 45,8,1,Magali,Bidu,Mingau,Chovinista,Padeiro,,,,,,,,,,,,,,,
Page 46,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 47,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 48,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 49,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 50,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 51,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 52,9,1,Penadinho,Zé Vampir,,,,,,,,,,,,,,,,,,
Page 53,9,1,Penadinho,Zé Vampir,Alminha,,,,,,,,,,,,,,,,,
Page 54,9,1,,,,,,,,,,,,,,,,,,,,
Page 55,10,1,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,
Page 56,11,1,Cebolinha,Mônica,Floquinho,Sansão,,,,,,,,,,,,,,,,
Page 57,11,1,Cebolinha,Sansão,Mônica,Borboleta,,,,,,,,,,,,,,,,
Page 58,12,1,Mônica,Sansão,,,,,,,,,,,,,,,,,,
Page 59,12,1,Mônica,,,,,,,,,,,,,,,,,,,
Page 60,12,1,Mônica,Monicão,,,,,,,,,,,,,,,,,,
Page 61,12,1,Mônica,Monicão,,,,,,,,,,,,,,,,,,
Page 62,12,1,Mônica,Monicão,,,,,,,,,,,,,,,,,,
Page 63,12,1,Mônica,Monicão,,,,,,,,,,,,,,,,,,
Page 64,12,1,Mônica,Monicão,,,,,,,,,,,,,,,,,,
Page 65,12,1,Mônica,Monicão,Fabinho Boa Pinta,Denise,gibi 12 Criança 11,gibi 12 Criança 12,gibi 12 Criança 13,gibi 12 Sombra 26,,,,,,,,,,,,
Page 66,13,1,Cebolinha,Mônica,Do Contra,,,,,,,,,,,,,,,,,
Page 67,,,,,,,,,,,,,,,,,,,,,,
Page 68,,,,,,,,,,,,,,,,,,,,,,
