Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22
Page 1,Capa,1,Jotalhão,Rita Najura,Dudu,Magali,Bidu,Mônica,Cebolinha,Cascão,Bugu,#tdm14 Animal 1,Mingau,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,1,Cascão,Cebolinha,#tdm14 Mãe 1,#tdm14 Pai 1,#tdm14 Figurante 1,#tdm14 Figurante 2,#tdm14 Figurante 3,#tdm14 Figurante 4,#tdm14 Figurante 5,#tdm14 Figurante 6,#tdm14 Figurante 7,#tdm14 Criança 1,#tdm14 Criança 2,#tdm14 Criança 3,#tdm14 Criança 4,#tdm14 Criança 5,#tdm14 Criança 6,#tdm14 Criança 7,#tdm14 Criança 8,#tdm14 Criança 9,#tdm14 Criança 10,#tdm14 Criança 11
Page 4,1,1,Dona Luísa,Mônica,Cebolinha,Cascão,#tdm14 Atendente 1,#tdm14 Sombra 1,#tdm14 Criança 12,#tdm14 Criança 13,#tdm14 Criança 14,#tdm14 Criança 15,,,,,,,,,,,,
Page 5,1,1,Mônica,Cascão,Cebolinha,#tdm14 Sombra 2,#tdm14 Sombra 3,#tdm14 Sombra 4,#tdm14 Sombra 5,#tdm14 Sombra 6,#tdm14 Sombra 7,#tdm14 Sombra 8,#tdm14 Sombra 9,#tdm14 Sombra 10,,,,,,,,,,
Page 6,1,1,Cascão,Mônica,Cebolinha,#tdm14 Criança 16,#tdm14 Criança 17,#tdm14 Criança 18,,,,,,,,,,,,,,,,
Page 7,1,1,Cascão,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,
Page 8,1,1,Cascão,Mônica,Cebolinha,Magali,#tdm14 Sombra 11,,,,,,,,,,,,,,,,,
Page 9,1,1,Cascão,Mônica,Cebolinha,Magali,Dona Luísa,#tdm14 Atendente 2,#tdm14 Criança 19,#tdm14 Criança 20,#tdm14 Criança 21,#tdm14 Criança 22,,,,,,,,,,,,
Page 10,1,1,Cascão,Mônica,Cebolinha,Magali,Sansão,,,,,,,,,,,,,,,,,
Page 11,1,1,Mônica,,,,,,,,,,,,,,,,,,,,,
Page 12,1,1,Mônica,,,,,,,,,,,,,,,,,,,,,
Page 13,1,1,Mônica,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,
Page 14,1,1,Mônica,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,
Page 15,1,1,Mônica,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,
Page 16,1,1,Cebolinha,Cascão,Irmãs Cebolinhas,Mãe Cebolinha,,,,,,,,,,,,,,,,,,
Page 17,1,1,Irmãs Cebolinhas,Chico Bento,Dona Cotinha,,,,,,,,,,,,,,,,,,,
Page 18,1,1,Irmãs Cebolinhas,Chico Bento,Dona Cotinha,,,,,,,,,,,,,,,,,,,
Page 19,1,1,Mônica,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,
Page 20,1,1,Mônica,Mingau,,,,,,,,,,,,,,,,,,,,
Page 21,1,1,Mônica,Mingau,,,,,,,,,,,,,,,,,,,,
Page 22,1,1,Mônica,Mingau,,,,,,,,,,,,,,,,,,,,
Page 23,1,1,Mônica,Mingau,Bugu,,,,,,,,,,,,,,,,,,,
Page 24,1,1,Mônica,Bugu,Senhor Bacon,,,,,,,,,,,,,,,,,,,
Page 25,1,1,Mônica,Bugu,Senhor Bacon,,,,,,,,,,,,,,,,,,,
Page 26,1,1,Mônica,Bugu,Senhor Bacon,Magali,Dudu,,,,,,,,,,,,,,,,,
Page 27,1,1,Mônica,Dudu,Magali,,,,,,,,,,,,,,,,,,,
Page 28,1,1,Mônica,Dudu,Magali,Marina,,,,,,,,,,,,,,,,,,
Page 29,1,1,Mônica, Flor 1, Flor 2, Flor 3, Flor 4, Flor 5, Flor 6, Flor 7,,,,,,,,,,,,,,
Page 30,1,1,Mônica, Flor 1, Flor 2, Flor 3, Flor 4, Flor 5, Flor 6, Flor 7, Flor 8, Flor 9, Flor 10,,,,,,,,,,,
Page 31,1,1,Mônica,Bidu,Monicão,,,,,,,,,,,,,,,,,,,
Page 32,1,1,Mônica,Monicão,,,,,,,,,,,,,,,,,,,,
Page 33,1,1,Mônica,Sansão,#tdm14 Animal 2,#tdm14 Animal 3,,,,,,,,,,,,,,,,,,
Page 34,1,1,Sansão,Jotalhão,Rita Najura,,,,,,,,,,,,,,,,,,,
Page 35,1,1,Sansão,Jotalhão,Rita Najura,,,,,,,,,,,,,,,,,,,
Page 36,1,1,Mônica,Jotalhão,Rita Najura,,,,,,,,,,,,,,,,,,,
Page 37,1,1,Mônica,Jotalhão,Rita Najura,,,,,,,,,,,,,,,,,,,
Page 38,1,1,Mônica,Jotalhão,Rita Najura,,,,,,,,,,,,,,,,,,,
Page 39,1,1,Mônica,Jotalhão,Rita Najura,#tdm14 Animal 4,,,,,,,,,,,,,,,,,,
Page 40,1,1,Mônica,Jotalhão,Rita Najura,#tdm14 Animal 5, Cadeirão,,,,,,,,,,,,,,,,,
Page 41,1,1,Mônica,Louco,#tdm14 Pai 2,#tdm14 Mãe 2,#tdm14 Criança 23,#tdm14 Criança 24,#tdm14 Criança 25,#tdm14 Criança 26,#tdm14 Criança 27,#tdm14 Criança 28,#tdm14 Sombra 12,#tdm14 Sombra 13,#tdm14 Sombra 14,#tdm14 Sombra 15,#tdm14 Sombra 16,,,,,,,
Page 42,,,,,,,,,,,,,,,,,,,,,,,,
Page 43,,,,,,,,,,,,,,,,,,,,,,,,
Page 44,,,,,,,,,,,,,,,,,,,,,,,,
Page 45,,,,,,,,,,,,,,,,,,,,,,,,
Page 46,,,,,,,,,,,,,,,,,,,,,,,,
Page 47,2,1,Bugu,Bidu,,,,,,,,,,,,,,,,,,,,
Page 48,2,1,Bugu,Bidu, Lorde Orelhão,,,,,,,,,,,,,,,,,,,
Page 49,2,1,Bugu,Bidu, Lorde Orelhão, Laika,,,,,,,,,,,,,,,,,,
Page 50,2,1,Bugu,Bidu, Pirulito, Paçoquinha,,,,,,,,,,,,,,,,,,
