Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23
Page 1,Capa,1,Chico Bento,gibi 16 Criança 1,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 4,1,1,Chico Bento,Borboleta 1,Borboleta 2,Pássaro 1,Pássaro 2,Pássaro 3,Coelho,Formiga,,,,,,,,,,,,,,,
Page 5,1,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 6,1,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 7,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 8,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 9,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 10,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 11,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 12,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 13,1,1,Chico Bento,Espírito do Milharal,Pássaro 4,Pássaro 5,gibi 16 Sombra 1,gibi 16 Sombra 2,gibi 16 Sombra 3,,,,,,,,,,,,,,,,
Page 14,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 15,1,1,Chico Bento,Espírito do Milharal,gibi 16 Pai 1,gibi 16 Mãe 1,gibi 16 Mãe 2,gibi 16 Atendente 1,gibi 16 Criança 2,gibi 16 Criança 3,gibi 16 Criança 4,gibi 16 Sombra 4,gibi 16 Sombra 5,gibi 16 Sombra 6,gibi 16 Sombra 7,gibi 16 Sombra 8,gibi 16 Sombra 9,gibi 16 Sombra 10,gibi 16 Sombra 11,gibi 16 Sombra 12,gibi 16 Sombra 13,gibi 16 Sombra 14,gibi 16 Sombra 15,gibi 16 Sombra 16,gibi 16 Sombra 17
Page 16,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 17,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 18,1,1,Chico Bento,Espírito do Milharal,gibi 16 Atendente 2,gibi 16 Criança 5,gibi 16 Criança 6,gibi 16 Criança 7,gibi 16 Criança 8,,,,,,,,,,,,,,,,
Page 19,1,1,Chico Bento,Espírito do Milharal,gibi 16 Criança 9,gibi 16 Atendente 2,,,,,,,,,,,,,,,,,,,
