Page,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9
Page 1,Magali,Dud Van Winkle,Figurante Capa,,,,,,
Page 2,Magali,Dudu,,,,,,,
Page 3,Magali,Dudu,,,,,,,
Page 4,Magali,Dudu,,,,,,,
Page 5,Magali,Dudu,Figurante 1,,,,,,
Page 6,Mulher - História,Homem - História,Boi 1,Boi 2,Cachorro,Galo,Galinha,Dudu,Dud Van Winkle
Page 7,Magali,Dudu,Dud Van Winkle,Vovó - História,,,,,
Page 8,Dud Van Winkle,Vaca,Galinha,Tartaruga,Caracol,,,,
Page 9,Magali,Dudu,Dud Van Winkle,,,,,,
Page 10,Dud Van Winkle,,,,,,,,
Page 11,Dudu,Magali,Construtor 1,Construtor 2,Construtor 3,,,,
Page 12,Construtor 4,Construtor 5,Criança,Mãe,,,,,
Page 13,Maurício,Dud Van Winkle,Figurante 2,,,,,,
Page 14,Maurício,Dud Van Winkle,,,,,,,
Page 15,Dud Van Winkle,Dudu,Magali,,,,,,
Page 16,Dudu,Magali,Penadinho,,,,,,
Page 17,Dudu,Magali,Maurício,Dud Van Winkle,,,,,
Page 18,Cascão,,,,,,,,
Page 19,Cascão,,,,,,,,
Page 20,Cebolinha,Mônica,Magali,Sansão,,,,,
Page 21,Cascão,Mônica,Magali,Sansão,,,,,
Page 22,Mônica,Magali,Sansão,Xaveco,,,,,
Page 23,Monicão,Mingau,,,,,,,
Page 24,Mônica,Magali,Sansão,Monicão,Mingau,Chovinista,Floquinho,Cachorro Verde Aleatório,
Page 25,Franjinha,Bidu,Monicão,Mingau,Chovinista,Floquinho,Cachorro Verde Aleatório,,
Page 26,Lobi,Zé Vampir,,,,,,,
Page 27,Zé Vampir,Penadinho,Frank,Muminho,,,,,
Page 28,Mônica,Magali,Marina,Vendedor de Picolé,,,,,
Page 29,Mônica,Cebolinha,Titi,Super Homem,Cascão,,,,
Page 30,Piteco,Homem das Cavernas 1,Homem das Cavernas 2,,,,,,
Page 31,Piteco,Homem das Cavernas 1,Homem das Cavernas 2,,,,,,
Page 32,Piteco,Homem das Cavernas 1,Homem das Cavernas 2,,,,,,
Page 33,Piteco,Dente de Sabre,Dinossauro Amarelo,,,,,,
Page 34,Piteco,Homem das Cavernas 3,Homem das Cavernas 4,,,,,,
Page 35,Dudu,,,,,,,,
Page 36,Dudu,,,,,,,,
Page 37,Dudu,Mãe do Dudu,,,,,,,
Page 38,Magali,Franjinha,,,,,,,
Page 39,Magali,Franjinha,,,,,,,
Page 40,Magali,Franjinha,,,,,,,
Page 41,Franjinha,,,,,,,,
Page 42,Magali,Franjinha,,,,,,,
Page 43,Magali,Franjinha,,,,,,,
Page 44,Magali,Franjinha,,,,,,,
Page 45,Magali,Mãe da Magali,,,,,,,
Page 46,Magali,Anjo da Guarda da Magali,,,,,,,
Page 47,Bidu,Pedra,,,,,,,
Page 48,Bidu,Pedra,Manfredo,,,,,,
Page 49,Bidu,Manfredo,Desenhista 1,Desenhista 2,Desenhista 3,,,,
Page 50,Bidu,Manfredo,Pedra,,,,,,
Page 51,Bidu,Pedra,Manfredo,,,,,,
Page 52,Bidu,Manfredo,Pedra,,,,,,
Page 53,Bidu,Manfredo,Pedra,,,,,,
Page 54,Bidu,Manfredo,Pedra,,,,,,
Page 55,Bidu,Manfredo,Pedra,,,,,,
Page 56,Bidu,Manfredo,Desenhista 1,Desenhista 2,Desenhista 3,,,,
Page 57,Bidu,Manfredo,Desenhista 1,Desenhista 2,Desenhista 3,Pedra,,,
