Page,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11
Page 1,Caricatura do Maurício,Seu Cebola,Cebolinha,Mônica,Cascão,,,,,,
Page 2,Seu Cebola,Cebolinha,,,,,,,,,
Page 3,Cebolinha,Seu Cebola,Atendente do Parque 1,Atendente do Parque 2,Criança 1,Criança 2,Criança 3,Criança 4,,,
Page 4,Cebolinha,Seu Cebola,Criança 5,Criança 6,Criança 7,Pai 1,,,,,
Page 5,Cebolinha,Seu Cebola,Criança 8,Criança 9,Criança 10,Mãe 1,Atendente Lanchonete,,,,
Page 6,Cebolinha,Seu Cebola,Criança 11,Criança 12,,,,,,,
Page 7,Cebolinha,Seu Cebola,Criança 12,,,,,,,,
Page 8,Cebolinha,Seu Cebola,Criança 12,,,,,,,,
Page 9,Cebolinha,Seu Cebola,Atendente Karaokê,,,,,,,,
Page 10,Cebolinha,Seu Cebola,Criança 13,,,,,,,,
Page 11,Cebolinha,Seu Cebola,Criança 14,Criança 15,,,,,,,
Page 12,Cebolinha,Seu Cebola,Criança 14,Criança 15,,,,,,,
Page 13,Cebolinha,Seu Cebola,Criança 16,Criança 17,Criança 18,Criança 19,Criança 20,,,,
Page 14,Cebolinha,Seu Cebola,Criança 21,Criança 22,Criança 23,,,,,,
Page 15,Cebolinha,Seu Cebola,Mãe 2,Bebê,Pai 2,,,,,,
Page 16,Cebolinha,Seu Cebola,Bebê,Pai 2,,,,,,,
Page 17,Cebolinha,Seu Cebola,Jogador 1,Jogador 2,Jogador 3,Jogador 4,Jogador 5,Dona Cebola,Pai 2,Bebê,
Page 18,Cebolinha,Seu Cebola,,,,,,,,,
Page 19,Cebolinha,Seu Cebola,Pai Caramujo,Filho Caramujo,,,,,,,
Page 20,Mônica,Sansão,Magali,,,,,,,,
Page 21,Cebolinha,Magali,Cascão,Xaveco,Sorveteiro,,,,,,
Page 22,Cascão,Figurante 1,Figurante 2,Figurante 3,,,,,,,
Page 23,Cascão,Figurante 4,Figurante 5,Figurante 6,Figurante 7,,,,,,
Page 24,Cascão,Mãe do Cascão,Caixa do Supermercado,,,,,,,,
Page 25,Piteco,Vartolo,Dinossauro Rosa,,,,,,,,
Page 26,Piteco,Vartolo,Bolota,,,,,,,,
Page 27,Piteco,Vartolo,Homem Tigre 1,,,,,,,,
Page 28,Homem Tigre 1,Piteco,Vartolo,Bolota,Homem das Cavernas 1,,,,,,
Page 29,Piteco,Vartolo,Bolota,Homem Tigre 1,Homem Tigre 2,Homem Tigre 3,,,,,
Page 30,Piteco,Vartolo,Bolota,Homem das Cavernas 2,Homem das Cavernas 3,Homem das Cavernas 4,Homem das Cavernas 5,Homem das Cavernas 6,,,
Page 31,Homem Tigre 1,Homem Tigre 2,Homem Tigre 3,Homem Tigre 4,Homem Tigre 5,Piteco,Bolota,Vartolo,Homem das Cavernas 1,Homem das Cavernas 2,Homem das Cavernas 3
Page 32,Zé Vampir,Figurante 1,,,,,,,,,
Page 33,Cebolinha,CascãoDo Contra,,,,,,,,,
Page 34,Cebolinha,Mônica,Cascão,Magali,Maria Cebolinha,Xaveco,Bidu,,,,
Page 35,Cascão,Cebolinha,Mônica,Magali,,,,,,,
Page 36,Penadinho,Figurante 8,Figurante 9,Figurante 10,,,,,,,
Page 37,Penadinho,,,,,,,,,,
Page 38,Penadinho,Frank,,,,,,,,,
Page 39,Penadinho,Frank,Zé Vampir,Muminho,Esqueleto,,,,,,
Page 40,Penadinho,Frank,Zé Vampir,Muminho,Esqueleto,Lobi,Dona Morte,Alminha,Fantasma 1,Fantasma 2,
Page 41,Mônica,Cebolinha,Cascão,Sansão,,,,,,,
Page 42,Mônica,Cebolinha,Cascão,Sansão,,,,,,,
Page 43,Papa-Capim,Caiapopó,,,,,,,,,
Page 44,Papa-Capim,Caiapopó,Onça,,,,,,,,
Page 45,Papa-Capim,Caiapopó,Onça,,,,,,,,
Page 46,Papa-Capim,Caiapopó,Onça,,,,,,,,
Page 47,Zé Lelé,,,,,,,,,,
Page 48,Zé Lelé,,,,,,,,,,
Page 49,Cebolinha,Sansão,Mônica,,,,,,,,
Page 50,Cebolinha,Sansão,Mônica,,,,,,,,
Page 51,Humberto,,,,,,,,,,
Page 52,Humberto,,,,,,,,,,
Page 53,Humberto,,,,,,,,,,
Page 54,Humberto,,,,,,,,,,
Page 55,Humberto,,,,,,,,,,
Page 56,Humberto,Salva-vidas,,,,,,,,,
Page 57,Humberto,,,,,,,,,,
Page 58,Humberto,Tritão 1,,,,,,,,,
Page 59,Humberto,Pai,Criança,Tritão 1,Tritão 2,Tritão 3,,,,,
Page 60,Penadinho,Alminha,Zé Vampir,,,,,,,,
