Page,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23,Character 24,Character 25,Character 26
Page 1,Cascão,Cebolinha,Mônica,Duende,Múmia,,,,,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,
Page 4,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,
Page 5,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,
Page 6,Mônica,Duende,Mãe 1 - gibi 4,Pai 1 - gibi 4,Dona Luísa,Criança 1 - gibi 4,Criança 2 - gibi 4,Criança 3 - gibi 4,Criança 4 - gibi 4,Criança 5 - gibi 4,Criança 6 - gibi 4,Criança 7 - gibi 4,Criança 8 - gibi 4,Criança 9 - gibi 4,Criança 10 - gibi 4,Criança 11 - gibi 4,Sombra 1 - gibi 4,Sombra 2 - gibi 4,Sombra 3 - gibi 4,Sombra 4 - gibi 4,Sombra 5 - gibi 4,Sombra 6 - gibi 4,Sombra 7 - gibi 4,Sombra 8 - gibi 4,Sombra 9 - gibi 4,Sombra 10 - gibi 4
Page 7,Mônica,Duende,Dona Luísa,,,,,,,,,,,,,,,,,,,,,,,
Page 8,Mônica,Duende,Dona Luísa,,,,,,,,,,,,,,,,,,,,,,,
Page 9,Mônica,Duende,Dona Luísa,Criança 12 - gibi 4,Criança 13 - gibi 4,,,,,,,,,,,,,,,,,,,,,
Page 10,Duende,Atendente 1 - gibi 4,Sombra 11 - gibi 4,Mãe 2 - gibi 4,Mãe 3 - gibi 4,Pai 2 - gibi 4,Pai 3 - gibi 4,Criança 14 - gibi 4,Criança 15 - gibi 4,Criança 16 - gibi 4,Criança 17 - gibi 4,Criança 18 - gibi 4,Criança 19 - gibi 4,Criança 20 - gibi 4,Criança 21 - gibi 4,Criança 22 - gibi 4,Criança 23 - gibi 4,,,,,,,,,
Page 11,Duende,Atendente 1 - gibi 4,Mônica,Dona Luísa,Pai 4 - gibi 4,Criança 24 - gibi 4,Atendente 2 - gibi 4,,,,,,,,,,,,,,,,,,,
Page 12,Mônica,Dona Luísa,Duende,,,,,,,,,,,,,,,,,,,,,,,
Page 13,Duende,Atendente 3 - gibi 4,Atendente 4 - gibi 4,Criança 25 - gibi 4,Criança 26 - gibi 4,,,,,,,,,,,,,,,,,,,,,
Page 14,Duende,Mônica,,,,,,,,,,,,,,,,,,,,,,,,
Page 15,Duende,Mônica,Criança 27 - gibi 4,Criança 28 - gibi 4,,,,,,,,,,,,,,,,,,,,,,
Page 16,Duende,Mônica,Criança 29 - gibi 4,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,
Page 17,Duende,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 18,Duende,Criança 30 - gibi 4,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 19,Duende,Mônica,Atendente 5 - gibi 4,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,
Page 20,Duende,Mônica,Criança 31 - gibi 4,Criança 32 - gibi 4,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,
Page 21,Duende,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 22,Duende,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 23,Duende,Duende 2,Duende 3,Duende 4,,,,,,,,,,,,,,,,,,,,,,
Page 24,Duende,Duende 2,Duende 3,Duende 4,Duende 5,Papai Noel,,,,,,,,,,,,,,,,,,,,
Page 25,Duende,Duende 2,Duende 3,Duende 4,Duende 5,Duende 6,Duende 7,Papai Noel,,,,,,,,,,,,,,,,,,
Page 26,Duende,Duende 2,Duende 3,Duende 4,Duende 5,Papai Noel,,,,,,,,,,,,,,,,,,,,
Page 27,Duende,Duende 2,Duende 3,Papai Noel,,,,,,,,,,,,,,,,,,,,,,
Page 28,Papai Noel,Rena 1,Rena 2,Rena 3,Duende,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,
Page 29,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 30,Cascão,,,,,,,,,,,,,,,,,,,,,,,,,
Page 31,Cascão,São Paulo,Anjinho,,,,,,,,,,,,,,,,,,,,,,,
Page 32,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,,,,,,,
Page 33,Mingau,,,,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 36,Mingau,,,,,,,,,,,,,,,,,,,,,,,,,
Page 37,Mingau,Magali,,,,,,,,,,,,,,,,,,,,,,,,
Page 38,Mingau,Magali,,,,,,,,,,,,,,,,,,,,,,,,
Page 39,Mingau,Magali,,,,,,,,,,,,,,,,,,,,,,,,
Page 40,Mingau,Magali,Dona Lili,,,,,,,,,,,,,,,,,,,,,,,
Page 41,Teveluisão,Mãe do Teveluisão,,,,,,,,,,,,,,,,,,,,,,,,
Page 42,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 43,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 44,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 45,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 46,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 47,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 48,Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,,
Page 49,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 50,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 51,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 52,Cascão,Cebolinha,Enxame de abelhas,,,,,,,,,,,,,,,,,,,,,,,
Page 53,Chico Bento,Galo,Cachorro,Lesma,,,,,,,,,,,,,,,,,,,,,,
Page 54,Chico Bento,Tartaruga,Morcego,Formigas,Coruja,,,,,,,,,,,,,,,,,,,,,
Page 55,Chico Bento,Coelho,Macacos,Preguiça,Cavalo,,,,,,,,,,,,,,,,,,,,,
Page 56,Pato,Chico Bento,Mula,Porco,Gatos,,,,,,,,,,,,,,,,,,,,,
Page 57,Bodes,Chico Bento,Rosinha,Pássaros,,,,,,,,,,,,,,,,,,,,,,
Page 58,Piteco,Gronk,,,,,,,,,,,,,,,,,,,,,,,,
Page 59,Piteco,Gronk,,,,,,,,,,,,,,,,,,,,,,,,
Page 60,Piteco,Gronk,,,,,,,,,,,,,,,,,,,,,,,,
Page 61,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 62,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,
Page 63,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,
Page 64,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,
Page 65,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,
Page 66,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,
