Page,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21
Page 1,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,
Page 2,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,
Page 3,Criança 1,Criança 2,Dona Cebola,Cebolinha,Cascão,Tartaruga,Lebre,Figurante 1,Figurante 2,,,,,,,,,,,,
Page 4,Cebolinha,Cascão,Figurante 3,Figurante 4,Criança 3,Criança 4,Criança 5,Criança 6,Criança 7,Criança 8,Criança 9,Figurante 5,Figurante 6,Figurante 7,Figurante 8,Figurante 9,Figurante 10,Figurante 11,Figurante 12,Figurante 13,Sansão
Page 5,Sansão,Cebolinha,Cascão,Mônica,Criança 10,Criança 11,Figurante 14,Figurante 15,Figurante 16,Figurante 17,,,,,,,,,,,
Page 6,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,
Page 7,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,
Page 8,,,,,,,,,,,,,,,,,,,,,
Page 9,,,,,,,,,,,,,,,,,,,,,
Page 10,,,,,,,,,,,,,,,,,,,,,
Page 11,,,,,,,,,,,,,,,,,,,,,
Page 12,,,,,,,,,,,,,,,,,,,,,
Page 13,,,,,,,,,,,,,,,,,,,,,
Page 14,,,,,,,,,,,,,,,,,,,,,
Page 15,,,,,,,,,,,,,,,,,,,,,
Page 16,,,,,,,,,,,,,,,,,,,,,
Page 17,,,,,,,,,,,,,,,,,,,,,
Page 18,,,,,,,,,,,,,,,,,,,,,
Page 19,,,,,,,,,,,,,,,,,,,,,
Page 20,,,,,,,,,,,,,,,,,,,,,
Page 21,,,,,,,,,,,,,,,,,,,,,
Page 22,,,,,,,,,,,,,,,,,,,,,
Page 23,,,,,,,,,,,,,,,,,,,,,
Page 24,,,,,,,,,,,,,,,,,,,,,
Page 25,,,,,,,,,,,,,,,,,,,,,
Page 26,,,,,,,,,,,,,,,,,,,,,
Page 27,,,,,,,,,,,,,,,,,,,,,
Page 28,,,,,,,,,,,,,,,,,,,,,
Page 29,,,,,,,,,,,,,,,,,,,,,
Page 30,,,,,,,,,,,,,,,,,,,,,
Page 31,,,,,,,,,,,,,,,,,,,,,
Page 32,,,,,,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,,,,,
Page 37,,,,,,,,,,,,,,,,,,,,,
Page 38,,,,,,,,,,,,,,,,,,,,,
Page 39,,,,,,,,,,,,,,,,,,,,,
Page 40,,,,,,,,,,,,,,,,,,,,,
Page 41,,,,,,,,,,,,,,,,,,,,,
Page 42,,,,,,,,,,,,,,,,,,,,,
Page 43,,,,,,,,,,,,,,,,,,,,,
Page 44,,,,,,,,,,,,,,,,,,,,,
Page 45,,,,,,,,,,,,,,,,,,,,,
Page 46,,,,,,,,,,,,,,,,,,,,,
Page 47,,,,,,,,,,,,,,,,,,,,,
Page 48,,,,,,,,,,,,,,,,,,,,,
Page 49,,,,,,,,,,,,,,,,,,,,,
Page 50,,,,,,,,,,,,,,,,,,,,,
Page 51,,,,,,,,,,,,,,,,,,,,,
Page 52,,,,,,,,,,,,,,,,,,,,,
Page 53,,,,,,,,,,,,,,,,,,,,,
Page 54,,,,,,,,,,,,,,,,,,,,,
Page 55,,,,,,,,,,,,,,,,,,,,,
Page 56,,,,,,,,,,,,,,,,,,,,,
Page 57,,,,,,,,,,,,,,,,,,,,,
Page 58,,,,,,,,,,,,,,,,,,,,,
Page 59,,,,,,,,,,,,,,,,,,,,,
Page 60,,,,,,,,,,,,,,,,,,,,,
Page 61,,,,,,,,,,,,,,,,,,,,,
Page 62,,,,,,,,,,,,,,,,,,,,,
Page 63,,,,,,,,,,,,,,,,,,,,,
Page 64,,,,,,,,,,,,,,,,,,,,,
Page 65,,,,,,,,,,,,,,,,,,,,,
Page 66,,,,,,,,,,,,,,,,,,,,,
Page 67,,,,,,,,,,,,,,,,,,,,,
Page 68,,,,,,,,,,,,,,,,,,,,,
Page 69,,,,,,,,,,,,,,,,,,,,,
Page 70,,,,,,,,,,,,,,,,,,,,,
Page 71,,,,,,,,,,,,,,,,,,,,,
Page 72,,,,,,,,,,,,,,,,,,,,,
Page 73,,,,,,,,,,,,,,,,,,,,,
Page 74,,,,,,,,,,,,,,,,,,,,,
