Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21
Page 1,Capa,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,
Page 3,,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,
Page 4,1,Criança 1 - gibi 6,Criança 2 - gibi 6,Dona Cebola,Cebolinha,Cascão,Tartaruga,Lebre,Sombra 1 - gibi 6,Sombra 2 - gibi 6,,,,,,,,,,,,
Page 5,1,Cebolinha,Cascão,Figurante 1 - gibi 6,Criança 3 - gibi 6,Criança 4 - gibi 6,Criança 5 - gibi 6,Sombra 3 - gibi 6,Sombra 4 - gibi 6,Sombra 5 - gibi 6,Sombra 6 - gibi 6,Sombra 7 - gibi 6,Sombra 8 - gibi 6,Sombra 9 - gibi 6,Sombra 10 - gibi 6,Sombra 11 - gibi 6,Sombra 12 - gibi 6,Sombra 13 - gibi 6,Sombra 14 - gibi 6,Sombra 15 - gibi 6,Sombra 16 - gibi 6,Sansão
Page 6,1,Sansão,Cebolinha,Cascão,Mônica,Sombra 17 - gibi 6,Sombra 18 - gibi 6,Sombra 19 - gibi 6,Sombra 20 - gibi 6,Sombra 21 - gibi 6,Sombra 22 - gibi 6,,,,,,,,,,,
Page 7,1,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,
Page 8,1,Sansão,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,
Page 9,1,Mônica,Cebolinha,Cascão,Cérebro do Cebolinha,,,,,,,,,,,,,,,,,
Page 10,1,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,
Page 11,1,Cebolinha,Cascão,Sansão,,,,,,,,,,,,,,,,,,
Page 12,1,Cebolinha,Cascão,Sansão,,,,,,,,,,,,,,,,,,
Page 13,1,Cebolinha,Cascão,Sansão,,,,,,,,,,,,,,,,,,
Page 14,1,Cebolinha,Cascão,Sansão,Criança 6 - gibi 6,Criança 7 - gibi 6,,,,,,,,,,,,,,,,
Page 15,1,Cebolinha,Cascão,Sansão,Criança 8 - gibi 6,Atendente 1 - gibi 6,Mônica,,,,,,,,,,,,,,,
Page 16,1,Cebolinha,Cascão,Sansão,,,,,,,,,,,,,,,,,,
Page 17,1,Cebolinha,Cascão,Criança 9 - gibi 6,,,,,,,,,,,,,,,,,,
Page 18,1,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,
Page 19,1,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,
Page 20,1,Cebolinha,Cascão,Moça achados e perdidos,,,,,,,,,,,,,,,,,,
Page 21,1,Cebolinha,Cascão,Moça achados e perdidos,Mônica,,,,,,,,,,,,,,,,,
Page 22,1,Cebolinha,Cascão,Moça achados e perdidos,Mônica,,,,,,,,,,,,,,,,,
Page 23,1,Cebolinha,Cascão,Cérebro do Cebolinha,Mônica,,,,,,,,,,,,,,,,,
Page 24,1,Moça achados e perdidos,Cebolinha,Cascão,Mônica,Dona Cebola,Mãe 1 - gibi 6,Criança 10 - gibi 6,Sombra 23 - gibi 6,,,,,,,,,,,,,
Page 25,2,Sansão,Cebolinha,Mônica,Magali,,,,,,,,,,,,,,,,,
Page 26,2,Magali,Mônica,Sansão,,,,,,,,,,,,,,,,,,
Page 27,2,Magali,Mônica,Sansão,Cascão,,,,,,,,,,,,,,,,,
Page 28,3,Mônica,,,,,,,,,,,,,,,,,,,,
Page 29,3,Mônica,Sansão,Cebolinha,,,,,,,,,,,,,,,,,,
Page 30,,,,,,,,,,,,,,,,,,,,,,
Page 31,,,,,,,,,,,,,,,,,,,,,,
Page 32,4,Mônica,Sansão,Cebolinha,Cascão,,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,
Page 36,5,Cebolinha,Mônica,Dona Cebola,Sansão,,,,,,,,,,,,,,,,,
Page 37,5,Cebolinha,Mônica,Dona Cebola,Sansão,,,,,,,,,,,,,,,,,
Page 38,6,Penadinho,Cupido,Frank,Moça,,,,,,,,,,,,,,,,,
Page 39,6,Penadinho,Zé Vampir,Lobi,Morcego,Cachorro,Cupido,,,,,,,,,,,,,,,
Page 40,6,Frank,Moça,Lobi,Cachorro,Zé Vampir,Morcego,Penadinho,Cupido,Alminha,,,,,,,,,,,,
Page 41,,,,,,,,,,,,,,,,,,,,,,
Page 42,7,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,
Page 43,8,Rolo,Verinha,,,,,,,,,,,,,,,,,,,
Page 44,8,Rolo,Verinha,,,,,,,,,,,,,,,,,,,
Page 45,8,Rolo,Verinha,Figurante 2 - gibi 6,,,,,,,,,,,,,,,,,,
Page 46,9,Luca,,,,,,,,,,,,,,,,,,,,
Page 47,9,Luca,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,
Page 48,9,Luca,Cebolinha,Cascão,Mônica,Sansão,,,,,,,,,,,,,,,,
Page 49,9,Luca,Mônica,Sansão,Magali,Denise,,,,,,,,,,,,,,,,
Page 50,9,Luca,Mônica,Cebolinha,Cascão,Franjinha,,,,,,,,,,,,,,,,
Page 51,9,Luca,,,,,,,,,,,,,,,,,,,,
Page 52,9,Luca,Mingau,Bidu,Magali,Mônica,Sansão,Xaveco,Cascão,Seu Xavier,Banda,Criança 11 - gibi 6,Elefante,Sequestradores,,,,,,,,
Page 53,9,Luca,,,,,,,,,,,,,,,,,,,,
Page 54,9,Luca,Cebolinha,Cascão,Médico,,,,,,,,,,,,,,,,,
Page 55,,,,,,,,,,,,,,,,,,,,,,
Page 56,10,Chico Bento,Rosinha,Dona Marocas,,,,,,,,,,,,,,,,,,
Page 57,10,Chico Bento,Padre Lino,Dona Cotinha,Dentista,,,,,,,,,,,,,,,,,
Page 58,11,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,
Page 59,11,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,
Page 60,11,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,
Page 61,11,Mônica,Cebolinha,Fabinho,,,,,,,,,,,,,,,,,,
Page 62,11,Mônica,Cebolinha,Fabinho,,,,,,,,,,,,,,,,,,
Page 63,11,Mônica,Cebolinha,Criança 12 - gibi 6,Mãe 2 - gibi 6,Figurante 3 - gibi 6,,,,,,,,,,,,,,,,
Page 64,11,Mônica,Cebolinha,Marina,,,,,,,,,,,,,,,,,,
Page 65,11,Mônica,Cebolinha,Marina,,,,,,,,,,,,,,,,,,
Page 66,12,Penadinho,Zé Caveirinha,,,,,,,,,,,,,,,,,,,
